municipality,group,variable,month,Viviendas rociadas por personal de salud,TOTAL
BAURES,malaria,viviendas rociadas por personal de salud,2005-01-01,30,30
CABEZAS,malaria,viviendas rociadas por personal de salud,2005-01-01,18,18
EL VILLAR,malaria,viviendas rociadas por personal de salud,2005-01-01,4,4
GUANAY,malaria,viviendas rociadas por personal de salud,2005-01-01,371,371
MACHARETI,malaria,viviendas rociadas por personal de salud,2005-01-01,1,1
MAGDALENA,malaria,viviendas rociadas por personal de salud,2005-01-01,23,23
PUERTO RICO,malaria,viviendas rociadas por personal de salud,2005-01-01,5,5
PUERTO SILES,malaria,viviendas rociadas por personal de salud,2005-01-01,1,1
SAN IGNACIO,malaria,viviendas rociadas por personal de salud,2005-01-01,1,1
SAN LORENZO(TJA),malaria,viviendas rociadas por personal de salud,2005-01-01,1,1
CABEZAS,malaria,viviendas rociadas por personal de salud,2005-02-01,8,8
COTAGAITA,malaria,viviendas rociadas por personal de salud,2005-02-01,2,2
HUACAYA (VILLA DE HUACAYA),malaria,viviendas rociadas por personal de salud,2005-02-01,1,1
MACHARETI,malaria,viviendas rociadas por personal de salud,2005-02-01,2,2
SAN LORENZO(PND),malaria,viviendas rociadas por personal de salud,2005-02-01,33,33
BELLA FLOR,malaria,viviendas rociadas por personal de salud,2005-03-01,59,59
CABEZAS,malaria,viviendas rociadas por personal de salud,2005-03-01,19,19
GUANAY,malaria,viviendas rociadas por personal de salud,2005-03-01,176,176
HUACAYA (VILLA DE HUACAYA),malaria,viviendas rociadas por personal de salud,2005-03-01,3,3
PUERTO GONZALO MORENO,malaria,viviendas rociadas por personal de salud,2005-03-01,63,63
PUERTO SILES,malaria,viviendas rociadas por personal de salud,2005-03-01,2,2
TOMINA,malaria,viviendas rociadas por personal de salud,2005-03-01,3,3
VILLA NUEVA (LOMA ALTA),malaria,viviendas rociadas por personal de salud,2005-03-01,122,122
BAURES,malaria,viviendas rociadas por personal de salud,2005-04-01,28,28
BELLA FLOR,malaria,viviendas rociadas por personal de salud,2005-04-01,91,91
CABEZAS,malaria,viviendas rociadas por personal de salud,2005-04-01,5,5
MAGDALENA,malaria,viviendas rociadas por personal de salud,2005-04-01,3,3
PADCAYA,malaria,viviendas rociadas por personal de salud,2005-04-01,187,187
PORVENIR,malaria,viviendas rociadas por personal de salud,2005-04-01,6,6
PUERTO RICO,malaria,viviendas rociadas por personal de salud,2005-04-01,31,31
BAURES,malaria,viviendas rociadas por personal de salud,2005-05-01,175,175
BELLA FLOR,malaria,viviendas rociadas por personal de salud,2005-05-01,35,35
CABEZAS,malaria,viviendas rociadas por personal de salud,2005-05-01,4,4
ENTRE RIOS,malaria,viviendas rociadas por personal de salud,2005-05-01,81,81
IXIAMAS,malaria,viviendas rociadas por personal de salud,2005-05-01,546,546
LAGUNILLAS,malaria,viviendas rociadas por personal de salud,2005-05-01,2,2
PADCAYA,malaria,viviendas rociadas por personal de salud,2005-05-01,138,138
PUERTO RICO,malaria,viviendas rociadas por personal de salud,2005-05-01,122,122
SANTA CRUZ DE LA SIERRA,malaria,viviendas rociadas por personal de salud,2005-05-01,1,1
SENA,malaria,viviendas rociadas por personal de salud,2005-05-01,23,23
CULPINA,malaria,viviendas rociadas por personal de salud,2005-06-01,10,10
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2005-06-01,120,120
GUTIERREZ,malaria,viviendas rociadas por personal de salud,2005-06-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,viviendas rociadas por personal de salud,2005-06-01,40,40
NUEVO MANOA (NUEVA ESPERANZA),malaria,viviendas rociadas por personal de salud,2005-06-01,55,55
SOPACHUY,malaria,viviendas rociadas por personal de salud,2005-06-01,1,1
TEOPONTE,malaria,viviendas rociadas por personal de salud,2005-06-01,109,109
BAURES,malaria,viviendas rociadas por personal de salud,2005-07-01,16,16
BERMEJO,malaria,viviendas rociadas por personal de salud,2005-07-01,1,1
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2005-07-01,18,18
MAGDALENA,malaria,viviendas rociadas por personal de salud,2005-07-01,31,31
PORVENIR,malaria,viviendas rociadas por personal de salud,2005-07-01,30,30
PUERTO RICO,malaria,viviendas rociadas por personal de salud,2005-07-01,8,8
SAN IGNACIO DE VELASCO,malaria,viviendas rociadas por personal de salud,2005-07-01,100,100
SIPE SIPE,malaria,viviendas rociadas por personal de salud,2005-07-01,173,173
AIQUILE,malaria,viviendas rociadas por personal de salud,2005-08-01,1042,1042
