,group,variable,month,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,Nº DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
BATALLAS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,1,2
BERMEJO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
CAJUATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
CARANAVI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,4,0,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,3,0,3
COLCAPIRHUA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,0,1,1
COLQUECHACA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,0,1,1
CORIPATA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,0,1,1
COTOCA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,3,1,4
EL ALTO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
EL TORNO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,2,3
GENERAL SAAVEDRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,5,6
LA ASUNTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,3,0,3
LA PAZ,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,3,0,3
MAIRANA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,2,1,3
RURRENABAQUE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,2,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,0,2,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,2,0,2
SAN PEDRO,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,18,16,34
SUCRE,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,1,2,3
TODOS SANTOS,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,2,2,4
VILLA TUNARI,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,2,2,4
YACUIBA,tuberculosis y lepra,no de quimioprofilaxis en menores de 5 anos,2024-01-01,0,1,1
