,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,1,2
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,2,0,2
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,2,1,3
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,4,5,9
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,2,3
CHUA COCANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,3,0,3
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,3,2,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,4,4,8
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,2,3
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,1,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,2,0,2
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,4,1,5
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,3,2,5
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,3,2,5
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,2,3
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,20,14,34
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,4,1,5
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,4,4,8
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,4,1,5
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,3,2,5
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,8,9,17
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,21,21,42
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,2,0,2
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
MOCOMOCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
