,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-01-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-01-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-02-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-03-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-04-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-05-01,1,1,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-05-01,2,2,4
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-06-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-06-01,3,0,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-07-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-07-01,11,4,15
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-07-01,2,1,3
BOLPEBRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-08-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-08-01,2,0,2
HUACARETA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-08-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-08-01,11,3,14
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-08-01,2,1,3
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-09-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-09-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-09-01,10,4,14
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-09-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-09-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-09-01,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-09-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-10-01,2,1,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-10-01,14,10,24
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-11-01,8,7,15
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-11-01,0,4,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar,2024-12-01,4,3,7
