,group,variable,month,N° DE TB PULMONAR CLINICAMENTE DIAGNOSTICADOS (NUEVOS Y RECAIDAS) CANTIDAD,N° DE TB PULMONAR CLINICAMENTE DIAGNOSTICADOS (NUEVOS Y RECAIDAS) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
CAPINOTA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,1,1,2
COLCAPIRHUA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,0,1,1
COTOCA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,3,1,4
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,0,1,1
ORURO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,1,0,1
PUCARANI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,21,22,43
SORATA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,1,0,1
TUPIZA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-01-01,1,1,2
CARAPARI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,0,1,1
COBIJA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,1,1,2
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,7,1,8
ENTRE RIOS TRJ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,7,2,9
MONTERO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,1,2,3
POTOSI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,2,1,3
RIBERALTA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,6,3,9
TARIJA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,1,1,2
TRINIDAD,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,11,0,11
TUPIZA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,0,1,1
VIACHA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,0,1,1
WARNES,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-02-01,0,2,2
BERMEJO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,2,0,2
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,4,0,4
