,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS Y RECAIDAS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS Y RECAIDAS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,0,1,1
CARACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,1,2
CHUA COCANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,7,7,14
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,6,2,8
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
GAIOC JATUN AYLLU YURA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,13,11,24
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,2,3,5
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,3,2,5
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,1,2
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,0,2,2
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,3,2,5
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,0,1,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,15,10,25
SORATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,2,3,5
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,0,3,3
TARVITA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
TIAHUANACU,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,1,2
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
VILLAZON,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,3,0,3
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-01-01,2,0,2
ACHOCALLA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,0,1,1
AYATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,0,1,1
CAPINOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,0,1,1
