,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHOCALLA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,5,2,7
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,9,4,13
MAIRANA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,2,0,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,1,1,2
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,1,1,2
SAN PEDRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,10,3,13
TACACOMA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,0,1,1
TIPUANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,0,1,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-01-01,1,0,1
CAMIRI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,3,2,5
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,2,0,2
CULPINA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,4,1,5
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,13,4,17
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,0,1,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,3,0,3
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,5,0,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,8,2,10
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,1,0,1
TOCO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,0,1,1
URUBICHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,1,0,1
VILLAZON,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,1,0,1
VINTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-02-01,2,1,3
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,4,4,8
