,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MODIFICADO PARA TB CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MODIFICADO PARA TB CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,0,1,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,3,3,6
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,4,0,4
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,3,3,6
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-01-01,0,1,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-02-01,2,1,3
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-02-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-02-01,1,1,2
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-02-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-02-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-02-01,2,1,3
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-02-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-02-01,4,0,4
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-03-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-03-01,5,4,9
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-03-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-03-01,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-03-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-03-01,19,23,42
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-03-01,3,4,7
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-03-01,5,0,5
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-03-01,1,0,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,0,1,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,2,2,4
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,1,0,1
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,1,0,1
