,group,variable,month,N° DE TB PULMONAR BACTERIOLOGICAMENTE CONFIRMADOS (NUEVOS Y RECAIDAS) CANTIDAD,N° DE TB PULMONAR BACTERIOLOGICAMENTE CONFIRMADOS (NUEVOS Y RECAIDAS) CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,0,1
APOLO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,0,1
BATALLAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,1,2
BERMEJO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,0,1
BETANZOS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,1,2
CABEZAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,0,1,1
CAJUATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,2,0,2
CAMIRI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,0,1,1
CAPINOTA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,2,1,3
CARANAVI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,3,4,7
CHALLAPATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,2,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,3,0,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,4,2,6
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,22,7,29
COLCAPIRHUA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,0,1
CORIPATA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,4,1,5
COROICO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,3,2,5
COTAGAITA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,0,1
COTOCA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,6,3,9
CUATRO CAÑADAS,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,3,4
CULPINA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,1,2
EL ALTO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,13,10,23
EL PUENTE(STC),tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,0,1
EL TORNO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,4,4,8
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb pulmonar bacteriologicamente confirmados (nuevos y recaidas),2024-01-01,1,0,1
