,group,variable,month,Nº DE CASOS TB TSF (NUEVOS Y RECAIDAS) CON ÉXITO DE TRATAMIENTO CANTIDAD,Nº DE CASOS TB TSF (NUEVOS Y RECAIDAS) CON ÉXITO DE TRATAMIENTO CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
ACHOCALLA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
AIQUILE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
ALTO BENI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
ARANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,1,2
BERMEJO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,2,3,5
CABEZAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,2,2
"CAIZA ""D""",tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
CAMIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
CARANAVI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,3,3,6
CARAPARI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,1,2
CHALLAPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
CHAQUI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
CHARAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
COBIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,1,2
COLCAPIRHUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,2,3
COLOMI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
COLQUENCHA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
COMARAPA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,2,0,2
CORIPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,2,0,2
COROICO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,3,1,4
COTAGAITA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
COTOCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,4,0,4
CUATRO CAÑADAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
CULPINA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,1,2
EL ALTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,12,11,23
EL TORNO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,3,1,4
ENTRE RIOS TRJ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
