,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-01-01,1,0,1
EL TORNO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-01-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-01-01,5,2,7
POTOSI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-01-01,0,1,1
SACABA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-01-01,1,1,2
YAPACANI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-01-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-02-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-02-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-02-01,1,1,2
POTOSI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-02-01,0,1,1
SACABA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-02-01,0,1,1
ZUDAÑEZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-02-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-03-01,0,1,1
CABEZAS,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-04-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-04-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-04-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-04-01,2,0,2
YAPACANI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-04-01,4,2,6
GUAYARAMERIN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-05-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-05-01,1,1,2
ORURO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-05-01,4,0,4
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-05-01,1,0,1
CORIPATA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-06-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-06-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-06-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-06-01,0,1,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-07-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-07-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-08-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-08-01,1,0,1
SORATA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-08-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-08-01,1,0,1
