,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUCIBACILAR CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUCIBACILAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
MAGDALENA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-01-01,4,8,12
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-02-01,1,0,1
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-03-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-04-01,0,2,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-04-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-05-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-05-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-05-01,1,1,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-07-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-09-01,1,1,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-10-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-11-01,4,1,5
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-11-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-12-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema paucibacilar,2024-12-01,1,1,2
