,group,variable,month,Nº DE PACIENTES CON LEPRA CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,Nº DE PACIENTES CON LEPRA CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
COCHABAMBA,tuberculosis y lepra,no de pacientes con lepra con seguimiento a sus contactos,2024-01-01,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con lepra con seguimiento a sus contactos,2024-01-01,9.0,13.0,22.0
SANTA ROSA,tuberculosis y lepra,no de pacientes con lepra con seguimiento a sus contactos,2024-02-01,0.0,1.0,1.0
EL TORNO,tuberculosis y lepra,no de pacientes con lepra con seguimiento a sus contactos,2024-07-01,1.0,1.0,2.0
VILLA TUNARI,tuberculosis y lepra,no de pacientes con lepra con seguimiento a sus contactos,2024-09-01,1.0,0.0,1.0
COBIJA,tuberculosis y lepra,no de pacientes con lepra con seguimiento a sus contactos,2024-10-01,1.0,0.0,1.0
ORURO,tuberculosis y lepra,no de pacientes con lepra con seguimiento a sus contactos,2024-11-01,3.0,0.0,3.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con lepra con seguimiento a sus contactos,2024-11-01,7.0,6.0,13.0
