,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,1,0,1
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,4,6,10
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,4,4,8
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,8,4,12
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,1,1,2
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,13,3,16
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,3,1,4
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,1,1,2
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,1,0,1
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,3,5,8
ATOCHA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,4,1,5
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,6,0,6
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,1,1,2
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,4,7,11
BAURES,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,1,0,1
BELLA FLOR,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,0,1,1
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,10,5,15
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,12,8,20
BOLIVAR,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,0,1,1
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,4,6,10
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,2,1,3
"CAIZA ""D""",tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,3,0,3
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,2,0,2
CALACOTO,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,0,3,3
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,0,2,2
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,5,5,10
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,12,2,14
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,11,5,16
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,5,3,8
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,36,37,73
CARAPARI,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,3,1,4
CARMEN RIVERO TORREZ,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,2,0,2
CHALLAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,5,7,12
CHAQUI,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,1,1,2
CHARAGUA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,1,1,2
CHAYANTA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,5,1,6
CHIMORE,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,7,13,20
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,7,3,10
CHUMA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,2,0,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,4,4,8
CKOCHAS,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,3,1,4
CLIZA,tuberculosis y lepra,n de sintomaticos respiratorios,2024-01-01,2,3,5
