,group,variable,month,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,0,2,0,1,3
ACHACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,5,5,4,5,19
ACHOCALLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,16,16,2,1,35
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,4,5,9,7,25
ALALAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,1,0,2,1,4
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,1,0,0,1,2
ALTO BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,8,11,4,3,26
ANCORAIMES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,0,5,4,3,12
ANDAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,1,0,1,2,4
ANTEQUERA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,1,0,0,0,1
ANZALDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,0,1,1,2,4
APOLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,2,5,2,4,13
ARAMPAMPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,0,0,1,2,3
ARANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,1,2,3,1,7
ARBIETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,11,3,3,5,22
ARQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,3,1,5,3,12
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,13,10,4,1,28
ATOCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,3,1,2,4,10
AUCAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,0,1,0,0,1
AYATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,1,0,4,2,7
AYO AYO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,0,1,1,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,3,3,8,4,18
AZURDUY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,2,3,4,9,18
BATALLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,5,7,7,5,24
BELEN DE URMIRI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,0,1,1,1,3
BELLA FLOR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,0,0,2,1,3
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,12,17,0,0,29
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,13,8,3,2,26
BOLIVAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,0,2,1,1,4
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,1,1,2,1,5
BOYUIBE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,1,4,2,2,9
BUENA VISTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,9,4,0,0,13
CABEZAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,10,6,9,5,30
CAIROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,1,2,0,2,5
"CAIZA ""D""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2021-01-01,0,5,2,1,8
