,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,1,0,0,1
ACHACACHI,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,0,1,0,1
ACHOCALLA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,6,3,3,1,13
AIQUILE,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,0,1,0,1
ALTO BENI,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,0,0,1,1
ANCORAIMES,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,2,6,5,14
ANDAMARCA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,0,0,0,1
ARANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,0,1,0,1
ARBIETO,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,2,0,0,1,3
ARQUE,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,1,0,0,1
ATOCHA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,0,0,0,1
AYATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,2,0,0,0,2
AZURDUY,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,1,0,1,3
BATALLAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,1,4,6,12
BERMEJO,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,1,0,0,2
BETANZOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,10,3,2,1,16
BOYUIBE,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,1,1,0,2
BUENA VISTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,2,0,0,0,2
CABEZAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,2,2,2,0,6
"CAIZA ""D""",vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,1,1,0,2
CALAMARCA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,2,0,0,0,2
CAMARGO,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,2,0,0,3
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,1,0,0,2
CAMIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,3,3,0,7
CAPINOTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,2,1,3,0,6
CARACOLLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,0,1,1,2
CARANAVI,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,2,0,0,3
CARAPARI,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,1,0,1,2
CARIPUYO,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,2,0,0,2
CHALLAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,5,1,1,0,7
CHAQUI,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,2,2,0,5
CHARAGUA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,5,2,0,0,7
CHAYANTA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,1,1,0,2
CHIMORE,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,1,2,3,2,8
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,1,0,1,2
CHUMA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,0,3,0,0,3
CKOCHAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,4,3,8,2,17
CLIZA,vacunacion en ninos de 4 anos,srp 2da. dosis,2021-01-01,3,1,0,0,4
