,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
CAMIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,3,1,0,0,4
CHIMORE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,1,1,0,2
COBIJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,0,0,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,8,4,3,1,16
COLCAPIRHUA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,1,0,1,3
COLQUIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,0,0,1,1
CONCEPCION,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,0,7,3,10
CORO CORO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,1,0,0,1
COTOCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,3,1,0,5
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,2,0,0,3
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,5,7,0,4,16
GUANAY,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,1,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,1,0,0,2
HUANUNI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,2,2,0,0,4
LA ASUNTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,1,0,0,2
LA GUARDIA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,0,0,0,1
LA PAZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,6,5,0,0,11
MOJINETE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,0,1,0,1
MONTERO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,1,0,1,2
OCURI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,0,2,0,2
ORURO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,4,2,0,0,6
PAILON,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,0,1,2,4
PALCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,0,1,1,3
PORTACHUELO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,1,0,0,1
POTOSI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,1,0,0,2
PUCARANI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,1,0,1,2
PUERTO SUAREZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,0,1,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,1,0,1,2
QUILLACOLLO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,3,1,2,2,8
REYES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,0,0,1,1
RIBERALTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,0,0,1,2
SACABA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,1,0,0,0,1
SACACA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,1,0,0,1
SAN LORENZO(PND),vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,0,1,0,1
SAN PEDRO DE MACHA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,1,0,0,1
SANTA ANA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,25,18,1,7,51
SANTA ROSA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2021-01-01,0,1,1,0,2
