,group,variable,month,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA FUERA,ANTIAMARILICA DOSIS UNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
BUENA VISTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
CAMIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
CHIMORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,0,1,0,1
COBIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,7,8,4,1,20
COLCAPIRHUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,1,0,1,3
COLQUIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,0,0,1,1
CONCEPCION,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,0,7,3,10
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,0,1,0,1
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,2,0,0,3
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,3,6,3,5,17
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,1,0,0,2
HUANUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,1,0,0,2
INCAHUASI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
LA ASUNTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,1,0,0,2
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,6,2,3,8,19
LAS CARRERAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,0,1,0,1
LLICA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
MECAPACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
MIZQUE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,1,0,0,2
MONTEAGUDO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,2,0,0,2
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,1,2
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,4,3,0,0,7
PAILON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,0,0,0,1
PORTACHUELO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,2,0,0,0,2
PUCARANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,1,2
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,28,20,2,2,52
REYES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,0,0,1,1
RIBERALTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,2,0,1,4
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,0,0,1,2
SACACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,0,0,1,2
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,2,9,0,0,11
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,25,13,2,4,44
SIPE SIPE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,2,1,0,0,3
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,2,6,1,1,10
