,group,variable,month,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica, cirugia bucal menor,2014-01-01,7,13,7,13,20
ACHACACHI,atencion odontologica, cirugia bucal menor,2014-01-01,86,73,86,73,159
ACHOCALLA,atencion odontologica, cirugia bucal menor,2014-01-01,14,17,14,17,31
AIQUILE,atencion odontologica, cirugia bucal menor,2014-01-01,8,14,8,14,22
ALCALA,atencion odontologica, cirugia bucal menor,2014-01-01,12,26,12,26,38
ANCORAIMES,atencion odontologica, cirugia bucal menor,2014-01-01,31,46,31,46,77
ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-01-01,17,14,17,14,31
ANTEQUERA,atencion odontologica, cirugia bucal menor,2014-01-01,10,8,10,8,18
ANZALDO,atencion odontologica, cirugia bucal menor,2014-01-01,6,16,6,16,22
APOLO,atencion odontologica, cirugia bucal menor,2014-01-01,9,22,9,22,31
ARAMPAMPA,atencion odontologica, cirugia bucal menor,2014-01-01,4,21,4,21,25
ARANI,atencion odontologica, cirugia bucal menor,2014-01-01,8,16,8,16,24
ARBIETO,atencion odontologica, cirugia bucal menor,2014-01-01,5,12,5,12,17
ARQUE,atencion odontologica, cirugia bucal menor,2014-01-01,6,24,6,24,30
ASCENCION DE GUARAYOS,atencion odontologica, cirugia bucal menor,2014-01-01,37,75,37,75,112
ATOCHA,atencion odontologica, cirugia bucal menor,2014-01-01,94,129,94,129,223
AUCAPATA,atencion odontologica, cirugia bucal menor,2014-01-01,35,36,35,36,71
AYATA,atencion odontologica, cirugia bucal menor,2014-01-01,12,27,12,27,39
AYO AYO,atencion odontologica, cirugia bucal menor,2014-01-01,26,63,26,63,89
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, cirugia bucal menor,2014-01-01,46,50,46,50,96
AZURDUY,atencion odontologica, cirugia bucal menor,2014-01-01,4,19,4,19,23
BATALLAS,atencion odontologica, cirugia bucal menor,2014-01-01,10,12,10,12,22
BAURES,atencion odontologica, cirugia bucal menor,2014-01-01,8,5,8,5,13
BELEN DE ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-01-01,6,7,6,7,13
BERMEJO,atencion odontologica, cirugia bucal menor,2014-01-01,68,137,68,137,205
BETANZOS,atencion odontologica, cirugia bucal menor,2014-01-01,49,73,49,73,122
BOLIVAR,atencion odontologica, cirugia bucal menor,2014-01-01,9,28,9,28,37
BOLPEBRA,atencion odontologica, cirugia bucal menor,2014-01-01,5,3,5,3,8
BOYUIBE,atencion odontologica, cirugia bucal menor,2014-01-01,6,9,6,9,15
BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-01-01,8,6,8,6,14
CABEZAS,atencion odontologica, cirugia bucal menor,2014-01-01,52,95,52,95,147
CAIROMA,atencion odontologica, cirugia bucal menor,2014-01-01,54,77,54,77,131
"CAIZA ""D""",atencion odontologica, cirugia bucal menor,2014-01-01,20,31,20,31,51
CAJUATA,atencion odontologica, cirugia bucal menor,2014-01-01,33,32,33,32,65
CALACOTO,atencion odontologica, cirugia bucal menor,2014-01-01,9,14,9,14,23
CALAMARCA,atencion odontologica, cirugia bucal menor,2014-01-01,54,93,54,93,147
CAMARGO,atencion odontologica, cirugia bucal menor,2014-01-01,29,30,29,30,59
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, cirugia bucal menor,2014-01-01,4,11,4,11,15
CAMIRI,atencion odontologica, cirugia bucal menor,2014-01-01,51,101,51,101,152
CAPINOTA,atencion odontologica, cirugia bucal menor,2014-01-01,11,8,11,8,19
CAQUIAVIRI,atencion odontologica, cirugia bucal menor,2014-01-01,28,33,28,33,61
CARACOLLO,atencion odontologica, cirugia bucal menor,2014-01-01,4,7,4,7,11
CARANAVI,atencion odontologica, cirugia bucal menor,2014-01-01,14,14,14,14,28
CARAPARI,atencion odontologica, cirugia bucal menor,2014-01-01,55,79,55,79,134
CARIPUYO,atencion odontologica, cirugia bucal menor,2014-01-01,14,10,14,10,24
