,group,variable,month,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,0,3,0,3
ACHACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,26,21,26,21,47
ACHOCALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,2,4,2,6
AIQUILE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,5,7,5,12
ALCALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,0,2,0,2
ANCORAIMES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,15,7,15,7,22
ANDAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,9,4,9,4,13
ANTEQUERA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,3,3,3,6
ANZALDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,15,6,15,21
ARAMPAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,1,1,1,2
ARANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,4,0,4,4
ARBIETO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,9,18,9,18,27
ARQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,3,3,3,6
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,28,17,28,17,45
ATOCHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,9,9,9,9,18
AUCAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,8,9,8,9,17
AYATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,2,0,2,2
AYO AYO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,10,6,10,6,16
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,4,5,4,9
AZURDUY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,3,1,3,4
BATALLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,0,7,0,7
BAURES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,0,2,0,2
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
BERMEJO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,37,36,37,36,73
BETANZOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,9,12,9,12,21
BOLIVAR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
BOLPEBRA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,0,2,0,2
BOYUIBE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,0,2,0,2
BUENA VISTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,2,2,2,4
CABEZAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,55,5,55,5,60
CAIROMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,5,5,5,10
"CAIZA ""D""",atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,5,1,5,6
CAJUATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,0,7,0,7
CALACOTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,0,5,0,5
CALAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,16,12,16,12,28
CAMARGO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,11,7,11,7,18
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,3,1,3,4
CAMIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,28,19,28,19,47
CAPINOTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,8,0,8,0,8
