,group,variable,month,TOTAL 3.9 PERIODONCIAS CANTIDAD,TOTAL 3.9 PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica, periodoncias,2014-01-01,0,3,0,3,3
ACHACACHI,atencion odontologica, periodoncias,2014-01-01,7,12,7,12,19
ACHOCALLA,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
AIQUILE,atencion odontologica, periodoncias,2014-01-01,7,10,7,10,17
ALCALA,atencion odontologica, periodoncias,2014-01-01,0,4,0,4,4
ANCORAIMES,atencion odontologica, periodoncias,2014-01-01,1,0,1,0,1
ANDAMARCA,atencion odontologica, periodoncias,2014-01-01,1,1,1,1,2
ANZALDO,atencion odontologica, periodoncias,2014-01-01,3,4,3,4,7
APOLO,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
ARAMPAMPA,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
ARANI,atencion odontologica, periodoncias,2014-01-01,0,3,0,3,3
ARBIETO,atencion odontologica, periodoncias,2014-01-01,5,29,5,29,34
ARQUE,atencion odontologica, periodoncias,2014-01-01,0,9,0,9,9
ASCENCION DE GUARAYOS,atencion odontologica, periodoncias,2014-01-01,2,18,2,18,20
ATOCHA,atencion odontologica, periodoncias,2014-01-01,29,35,29,35,64
AUCAPATA,atencion odontologica, periodoncias,2014-01-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, periodoncias,2014-01-01,14,21,14,21,35
AZURDUY,atencion odontologica, periodoncias,2014-01-01,1,0,1,0,1
BELEN DE ANDAMARCA,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
BERMEJO,atencion odontologica, periodoncias,2014-01-01,18,31,18,31,49
BETANZOS,atencion odontologica, periodoncias,2014-01-01,6,10,6,10,16
BOLPEBRA,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
BOYUIBE,atencion odontologica, periodoncias,2014-01-01,2,1,2,1,3
BUENA VISTA,atencion odontologica, periodoncias,2014-01-01,1,2,1,2,3
CABEZAS,atencion odontologica, periodoncias,2014-01-01,6,34,6,34,40
CAIROMA,atencion odontologica, periodoncias,2014-01-01,1,2,1,2,3
"CAIZA ""D""",atencion odontologica, periodoncias,2014-01-01,0,3,0,3,3
CALAMARCA,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
CAMARGO,atencion odontologica, periodoncias,2014-01-01,0,6,0,6,6
CAMIRI,atencion odontologica, periodoncias,2014-01-01,12,26,12,26,38
CAPINOTA,atencion odontologica, periodoncias,2014-01-01,7,10,7,10,17
CAQUIAVIRI,atencion odontologica, periodoncias,2014-01-01,0,2,0,2,2
CARACOLLO,atencion odontologica, periodoncias,2014-01-01,2,4,2,4,6
CARANAVI,atencion odontologica, periodoncias,2014-01-01,32,71,32,71,103
CARAPARI,atencion odontologica, periodoncias,2014-01-01,16,43,16,43,59
CARIPUYO,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
CARMEN RIVERO TORREZ,atencion odontologica, periodoncias,2014-01-01,1,0,1,0,1
CHALLAPATA,atencion odontologica, periodoncias,2014-01-01,7,18,7,18,25
CHARAGUA,atencion odontologica, periodoncias,2014-01-01,8,12,8,12,20
CHAYANTA,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
CHIMORE,atencion odontologica, periodoncias,2014-01-01,1,2,1,2,3
CHIPAYA,atencion odontologica, periodoncias,2014-01-01,0,1,0,1,1
CHUA COCANI,atencion odontologica, periodoncias,2014-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, periodoncias,2014-01-01,5,7,5,7,12
CHUMA,atencion odontologica, periodoncias,2014-01-01,4,11,4,11,15
CLIZA,atencion odontologica, periodoncias,2014-01-01,13,24,13,24,37
COBIJA,atencion odontologica, periodoncias,2014-01-01,24,55,24,55,79
COCAPATA,atencion odontologica, periodoncias,2014-01-01,0,7,0,7,7
COCHABAMBA,atencion odontologica, periodoncias,2014-01-01,1602,2046,1602,2046,3648
COIPASA,atencion odontologica, periodoncias,2014-01-01,3,1,3,1,4
