,group,variable,month,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,8,0,8,8
ACHACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,70,96,70,96,166
ACHOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,15,32,15,32,47
AIQUILE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,68,76,68,76,144
ALCALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,11,21,11,21,32
ANCORAIMES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,1,0,1,1
ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,12,16,12,16,28
ANTEQUERA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,0,5,0,5
ANZALDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,21,70,21,70,91
APOLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,9,15,9,15,24
ARAMPAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,13,19,13,19,32
ARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,9,30,9,30,39
ARBIETO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,42,50,42,50,92
ARQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,16,23,16,23,39
ASCENCION DE GUARAYOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,2,1,2,3
ATOCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,52,61,52,61,113
AUCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,8,5,8,13
AYATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,4,1,4,5
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,164,205,164,205,369
AZURDUY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,13,5,13,5,18
BAURES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,17,19,17,19,36
BELEN DE ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,5,10,5,10,15
BERMEJO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,119,166,119,166,285
BETANZOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,40,64,40,64,104
BOLIVAR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,0,1,0,1
BOLPEBRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,8,8,8,8,16
BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,12,10,12,10,22
CABEZAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,72,81,72,81,153
CAIROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,49,66,49,66,115
"CAIZA ""D""",atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,1,0,1,0,1
CAJUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,11,34,11,34,45
CALACOTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,0,1,0,1,1
CALAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,94,111,94,111,205
CAMARGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,9,22,9,22,31
CAMIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,49,65,49,65,114
CAPINOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,196,211,196,211,407
CAQUIAVIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,30,21,30,21,51
CARACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,10,21,10,21,31
CARANAVI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-01-01,109,56,109,56,165
