,group,variable,month,TOTAL 3.5 CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTAL 3.5 CONSULTAS NUEVAS A MUJER EMBARAZADA O PUÉRPERA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,50,0,50,50
ACHACACHI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,66,0,66,66
ACHOCALLA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,34,0,34,34
AIQUILE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,47,0,47,47
ALCALA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,19,0,19,19
ANCORAIMES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1,0,1,1
ANDAMARCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,6,0,6,6
ANTEQUERA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
ANZALDO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,44,0,44,44
APOLO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,31,0,31,31
ARAMPAMPA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,9,0,9,9
ARANI,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,25,0,25,25
ARBIETO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,48,0,48,48
ARQUE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,41,0,41,41
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,74,0,74,74
ATOCHA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
AUCAPATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,9,0,9,9
AYATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,3,0,3,3
AYO AYO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,45,0,45,45
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,115,0,115,115
AZURDUY,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,23,0,23,23
BATALLAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,13,0,13,13
BAURES,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,10,0,10,10
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,20,0,20,20
BERMEJO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,39,0,39,39
BETANZOS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,43,0,43,43
BOLIVAR,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,6,0,6,6
BOYUIBE,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
BUENA VISTA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,1,0,1,1
CABEZAS,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,24,0,24,24
CAIROMA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,28,0,28,28
"CAIZA ""D""",atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,36,0,36,36
CAJUATA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,31,0,31,31
CALACOTO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,2,0,2,2
CALAMARCA,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,68,0,68,68
CAMARGO,atencion odontologica, consultas nuevas a mujer embarazada o puerpera,2014-01-01,0,115,0,115,115
