,group,variable,month,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica, primera consulta,2014-01-01,20,22,20,22,42
ACHACACHI,atencion odontologica, primera consulta,2014-01-01,194,268,194,268,462
ACHOCALLA,atencion odontologica, primera consulta,2014-01-01,65,107,65,107,172
AIQUILE,atencion odontologica, primera consulta,2014-01-01,32,60,32,60,92
ALCALA,atencion odontologica, primera consulta,2014-01-01,101,143,101,143,244
ANCORAIMES,atencion odontologica, primera consulta,2014-01-01,56,72,56,72,128
ANDAMARCA,atencion odontologica, primera consulta,2014-01-01,33,48,33,48,81
ANTEQUERA,atencion odontologica, primera consulta,2014-01-01,23,42,23,42,65
ANZALDO,atencion odontologica, primera consulta,2014-01-01,15,33,15,33,48
APOLO,atencion odontologica, primera consulta,2014-01-01,9,13,9,13,22
ARAMPAMPA,atencion odontologica, primera consulta,2014-01-01,28,36,28,36,64
ARANI,atencion odontologica, primera consulta,2014-01-01,10,21,10,21,31
ARBIETO,atencion odontologica, primera consulta,2014-01-01,37,86,37,86,123
ARQUE,atencion odontologica, primera consulta,2014-01-01,37,99,37,99,136
ASCENCION DE GUARAYOS,atencion odontologica, primera consulta,2014-01-01,135,221,135,221,356
ATOCHA,atencion odontologica, primera consulta,2014-01-01,198,314,198,314,512
AUCAPATA,atencion odontologica, primera consulta,2014-01-01,38,54,38,54,92
AYATA,atencion odontologica, primera consulta,2014-01-01,32,48,32,48,80
AYO AYO,atencion odontologica, primera consulta,2014-01-01,44,74,44,74,118
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, primera consulta,2014-01-01,86,105,86,105,191
AZURDUY,atencion odontologica, primera consulta,2014-01-01,24,33,24,33,57
BATALLAS,atencion odontologica, primera consulta,2014-01-01,5,11,5,11,16
BAURES,atencion odontologica, primera consulta,2014-01-01,25,20,25,20,45
BELEN DE ANDAMARCA,atencion odontologica, primera consulta,2014-01-01,9,18,9,18,27
BERMEJO,atencion odontologica, primera consulta,2014-01-01,331,498,331,498,829
BETANZOS,atencion odontologica, primera consulta,2014-01-01,165,243,165,243,408
BOLIVAR,atencion odontologica, primera consulta,2014-01-01,7,15,7,15,22
BOLPEBRA,atencion odontologica, primera consulta,2014-01-01,16,18,16,18,34
BOYUIBE,atencion odontologica, primera consulta,2014-01-01,13,28,13,28,41
BUENA VISTA,atencion odontologica, primera consulta,2014-01-01,41,55,41,55,96
CABEZAS,atencion odontologica, primera consulta,2014-01-01,135,207,135,207,342
CAIROMA,atencion odontologica, primera consulta,2014-01-01,84,116,84,116,200
"CAIZA ""D""",atencion odontologica, primera consulta,2014-01-01,48,82,48,82,130
CAJUATA,atencion odontologica, primera consulta,2014-01-01,61,91,61,91,152
CALACOTO,atencion odontologica, primera consulta,2014-01-01,31,28,31,28,59
CALAMARCA,atencion odontologica, primera consulta,2014-01-01,180,255,180,255,435
CAMARGO,atencion odontologica, primera consulta,2014-01-01,60,110,60,110,170
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, primera consulta,2014-01-01,19,39,19,39,58
CAMIRI,atencion odontologica, primera consulta,2014-01-01,157,265,157,265,422
CAPINOTA,atencion odontologica, primera consulta,2014-01-01,11,40,11,40,51
CAQUIAVIRI,atencion odontologica, primera consulta,2014-01-01,40,69,40,69,109
CARACOLLO,atencion odontologica, primera consulta,2014-01-01,15,20,15,20,35
CARANAVI,atencion odontologica, primera consulta,2014-01-01,118,129,118,129,247
CARAPARI,atencion odontologica, primera consulta,2014-01-01,148,293,148,293,441
CARIPUYO,atencion odontologica, primera consulta,2014-01-01,26,31,26,31,57
CARMEN RIVERO TORREZ,atencion odontologica, primera consulta,2014-01-01,14,31,14,31,45
CATACORA,atencion odontologica, primera consulta,2014-01-01,8,4,8,4,12
CHALLAPATA,atencion odontologica, primera consulta,2014-01-01,238,295,238,295,533
CHAQUI,atencion odontologica, primera consulta,2014-01-01,12,27,12,27,39
CHARAGUA,atencion odontologica, primera consulta,2014-01-01,168,238,168,238,406
