,group,variable,month,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTAL 312 OTRAS ACCIONES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica,otras acciones,2014-01-01,6.0,7.0,6.0,7.0,13.0
ACHACACHI,atencion odontologica,otras acciones,2014-01-01,73.0,118.0,73.0,118.0,191.0
ACHOCALLA,atencion odontologica,otras acciones,2014-01-01,56.0,72.0,56.0,72.0,128.0
AIQUILE,atencion odontologica,otras acciones,2014-01-01,4.0,0.0,4.0,0.0,4.0
ALCALA,atencion odontologica,otras acciones,2014-01-01,6.0,17.0,6.0,17.0,23.0
ANCORAIMES,atencion odontologica,otras acciones,2014-01-01,0.0,1.0,0.0,1.0,1.0
ANDAMARCA,atencion odontologica,otras acciones,2014-01-01,9.0,16.0,9.0,16.0,25.0
ANTEQUERA,atencion odontologica,otras acciones,2014-01-01,17.0,41.0,17.0,41.0,58.0
ANZALDO,atencion odontologica,otras acciones,2014-01-01,5.0,11.0,5.0,11.0,16.0
APOLO,atencion odontologica,otras acciones,2014-01-01,3.0,3.0,3.0,3.0,6.0
ARAMPAMPA,atencion odontologica,otras acciones,2014-01-01,11.0,9.0,11.0,9.0,20.0
ARANI,atencion odontologica,otras acciones,2014-01-01,6.0,9.0,6.0,9.0,15.0
ARBIETO,atencion odontologica,otras acciones,2014-01-01,2.0,2.0,2.0,2.0,4.0
ARQUE,atencion odontologica,otras acciones,2014-01-01,5.0,18.0,5.0,18.0,23.0
ASCENCION DE GUARAYOS,atencion odontologica,otras acciones,2014-01-01,21.0,36.0,21.0,36.0,57.0
ATOCHA,atencion odontologica,otras acciones,2014-01-01,122.0,204.0,122.0,204.0,326.0
AUCAPATA,atencion odontologica,otras acciones,2014-01-01,2.0,1.0,2.0,1.0,3.0
AYATA,atencion odontologica,otras acciones,2014-01-01,6.0,7.0,6.0,7.0,13.0
AYO AYO,atencion odontologica,otras acciones,2014-01-01,25.0,61.0,25.0,61.0,86.0
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,otras acciones,2014-01-01,34.0,46.0,34.0,46.0,80.0
AZURDUY,atencion odontologica,otras acciones,2014-01-01,12.0,27.0,12.0,27.0,39.0
BAURES,atencion odontologica,otras acciones,2014-01-01,13.0,12.0,13.0,12.0,25.0
BELEN DE ANDAMARCA,atencion odontologica,otras acciones,2014-01-01,5.0,5.0,5.0,5.0,10.0
BERMEJO,atencion odontologica,otras acciones,2014-01-01,290.0,565.0,290.0,565.0,855.0
BETANZOS,atencion odontologica,otras acciones,2014-01-01,52.0,86.0,52.0,86.0,138.0
BOLIVAR,atencion odontologica,otras acciones,2014-01-01,3.0,6.0,3.0,6.0,9.0
BUENA VISTA,atencion odontologica,otras acciones,2014-01-01,25.0,39.0,25.0,39.0,64.0
CABEZAS,atencion odontologica,otras acciones,2014-01-01,52.0,75.0,52.0,75.0,127.0
CAIROMA,atencion odontologica,otras acciones,2014-01-01,10.0,11.0,10.0,11.0,21.0
"CAIZA ""D""",atencion odontologica,otras acciones,2014-01-01,37.0,61.0,37.0,61.0,98.0
CAJUATA,atencion odontologica,otras acciones,2014-01-01,26.0,37.0,26.0,37.0,63.0
CALACOTO,atencion odontologica,otras acciones,2014-01-01,3.0,5.0,3.0,5.0,8.0
CALAMARCA,atencion odontologica,otras acciones,2014-01-01,83.0,135.0,83.0,135.0,218.0
CAMARGO,atencion odontologica,otras acciones,2014-01-01,93.0,0.0,93.0,0.0,93.0
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,otras acciones,2014-01-01,21.0,47.0,21.0,47.0,68.0
CAMIRI,atencion odontologica,otras acciones,2014-01-01,72.0,133.0,72.0,133.0,205.0
CAPINOTA,atencion odontologica,otras acciones,2014-01-01,3.0,6.0,3.0,6.0,9.0
CAQUIAVIRI,atencion odontologica,otras acciones,2014-01-01,15.0,21.0,15.0,21.0,36.0
CARACOLLO,atencion odontologica,otras acciones,2014-01-01,135.0,220.0,135.0,220.0,355.0
CARANAVI,atencion odontologica,otras acciones,2014-01-01,91.0,42.0,91.0,42.0,133.0
