,group,variable,month,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTAL 3.8 ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
ACHACACHI,atencion odontologica, endodoncias,2014-01-01,31,42,31,42,73
ACHOCALLA,atencion odontologica, endodoncias,2014-01-01,4,10,4,10,14
AIQUILE,atencion odontologica, endodoncias,2014-01-01,16,51,16,51,67
ALCALA,atencion odontologica, endodoncias,2014-01-01,0,3,0,3,3
ANCORAIMES,atencion odontologica, endodoncias,2014-01-01,1,2,1,2,3
ANDAMARCA,atencion odontologica, endodoncias,2014-01-01,0,3,0,3,3
ANTEQUERA,atencion odontologica, endodoncias,2014-01-01,1,3,1,3,4
ANZALDO,atencion odontologica, endodoncias,2014-01-01,1,2,1,2,3
APOLO,atencion odontologica, endodoncias,2014-01-01,3,0,3,0,3
ARAMPAMPA,atencion odontologica, endodoncias,2014-01-01,3,2,3,2,5
ARANI,atencion odontologica, endodoncias,2014-01-01,2,1,2,1,3
ARBIETO,atencion odontologica, endodoncias,2014-01-01,1,6,1,6,7
ARQUE,atencion odontologica, endodoncias,2014-01-01,3,6,3,6,9
ASCENCION DE GUARAYOS,atencion odontologica, endodoncias,2014-01-01,1,6,1,6,7
ATOCHA,atencion odontologica, endodoncias,2014-01-01,59,70,59,70,129
AUCAPATA,atencion odontologica, endodoncias,2014-01-01,3,3,3,3,6
AYATA,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
AYO AYO,atencion odontologica, endodoncias,2014-01-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, endodoncias,2014-01-01,30,29,30,29,59
AZURDUY,atencion odontologica, endodoncias,2014-01-01,5,5,5,5,10
BATALLAS,atencion odontologica, endodoncias,2014-01-01,0,1,0,1,1
BAURES,atencion odontologica, endodoncias,2014-01-01,3,7,3,7,10
BERMEJO,atencion odontologica, endodoncias,2014-01-01,16,46,16,46,62
BETANZOS,atencion odontologica, endodoncias,2014-01-01,12,17,12,17,29
BOYUIBE,atencion odontologica, endodoncias,2014-01-01,1,2,1,2,3
BUENA VISTA,atencion odontologica, endodoncias,2014-01-01,2,1,2,1,3
CABEZAS,atencion odontologica, endodoncias,2014-01-01,1,9,1,9,10
CAIROMA,atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
"CAIZA ""D""",atencion odontologica, endodoncias,2014-01-01,6,5,6,5,11
CAJUATA,atencion odontologica, endodoncias,2014-01-01,1,3,1,3,4
CALAMARCA,atencion odontologica, endodoncias,2014-01-01,4,9,4,9,13
CAMARGO,atencion odontologica, endodoncias,2014-01-01,9,21,9,21,30
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, endodoncias,2014-01-01,0,2,0,2,2
CAMIRI,atencion odontologica, endodoncias,2014-01-01,38,48,38,48,86
CAPINOTA,atencion odontologica, endodoncias,2014-01-01,46,27,46,27,73
CAQUIAVIRI,atencion odontologica, endodoncias,2014-01-01,1,1,1,1,2
CARACOLLO,atencion odontologica, endodoncias,2014-01-01,26,37,26,37,63
CARANAVI,atencion odontologica, endodoncias,2014-01-01,31,45,31,45,76
CARAPARI,atencion odontologica, endodoncias,2014-01-01,20,15,20,15,35
CARIPUYO,atencion odontologica, endodoncias,2014-01-01,3,0,3,0,3
CARMEN RIVERO TORREZ,atencion odontologica, endodoncias,2014-01-01,0,1,0,1,1
CHALLAPATA,atencion odontologica, endodoncias,2014-01-01,13,11,13,11,24
CHARAGUA,atencion odontologica, endodoncias,2014-01-01,0,7,0,7,7
CHAYANTA,atencion odontologica, endodoncias,2014-01-01,0,1,0,1,1
CHIMORE,atencion odontologica, endodoncias,2014-01-01,13,21,13,21,34
CHIPAYA,atencion odontologica, endodoncias,2014-01-01,1,0,1,0,1
CHUA COCANI,atencion odontologica, endodoncias,2014-01-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, endodoncias,2014-01-01,7,16,7,16,23
CHUMA,atencion odontologica, endodoncias,2014-01-01,7,11,7,11,18
