,group,variable,month,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTAL 3.2 CONSULTAS NUEVAS MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,9,10,9,10,19
ACHACACHI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,123,180,123,180,303
ACHOCALLA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,69,88,69,88,157
AIQUILE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,92,114,92,114,206
ALCALA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,55,46,55,46,101
ANCORAIMES,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,3,5,3,5,8
ANDAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,11,14,11,14,25
ANTEQUERA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,10,12,10,12,22
ANZALDO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,13,32,13,32,45
APOLO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,30,26,30,26,56
ARAMPAMPA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,35,24,35,24,59
ARANI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,9,26,9,26,35
ARBIETO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,75,94,75,94,169
ARQUE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,29,35,29,35,64
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,16,28,16,28,44
ATOCHA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,41,49,41,49,90
AUCAPATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,18,17,18,17,35
AYATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,5,15,5,15,20
AYO AYO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,28,25,28,25,53
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,50,41,50,41,91
AZURDUY,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,25,27,25,27,52
BATALLAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,4,5,4,5,9
BAURES,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,6,5,6,5,11
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,12,13,12,13,25
BERMEJO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,28,43,28,43,71
BETANZOS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,61,44,61,44,105
BOLIVAR,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,2,4,2,4,6
BOLPEBRA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,11,12,11,12,23
BOYUIBE,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,0,1,0,1,1
BUENA VISTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,6,5,6,5,11
CABEZAS,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,42,46,42,46,88
CAIROMA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,55,62,55,62,117
"CAIZA ""D""",atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,21,24,21,24,45
CAJUATA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,40,55,40,55,95
CALACOTO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,9,6,9,6,15
CALAMARCA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,180,190,180,190,370
CAMARGO,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,68,117,68,117,185
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,26,16,26,16,42
CAMIRI,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,94,68,94,68,162
CAPINOTA,atencion odontologica, consultas nuevas menores de 5 anos,2014-01-01,62,71,62,71,133
