,group,variable,month,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTAL 3.3 CONSULTAS NUEVAS DE 5 A 59 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,13,52,13,52,65
ACHACACHI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,167,299,167,299,466
ACHOCALLA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,37,84,37,84,121
AIQUILE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,31,38,31,38,69
ALCALA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,18,55,18,55,73
ANCORAIMES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,37,47,37,47,84
ANDAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,37,47,37,47,84
ANTEQUERA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,15,42,15,42,57
ANZALDO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,21,76,21,76,97
APOLO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,31,91,31,91,122
ARAMPAMPA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,11,29,11,29,40
ARANI,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,22,37,22,37,59
ARBIETO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,41,123,41,123,164
ARQUE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,28,137,28,137,165
ASCENCION DE GUARAYOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,91,176,91,176,267
ATOCHA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,302,456,302,456,758
AUCAPATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,32,45,32,45,77
AYATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,30,39,30,39,69
AYO AYO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,45,119,45,119,164
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,120,144,120,144,264
AZURDUY,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,18,25,18,25,43
BATALLAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,4,27,4,27,31
BAURES,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,39,44,39,44,83
BELEN DE ANDAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,11,8,11,8,19
BERMEJO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,841,1276,841,1276,2117
BETANZOS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,153,252,153,252,405
BOLIVAR,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,13,38,13,38,51
BOLPEBRA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,5,4,5,4,9
BOYUIBE,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,25,39,25,39,64
BUENA VISTA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,15,6,15,6,21
CABEZAS,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,187,185,187,185,372
CAIROMA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,96,173,96,173,269
"CAIZA ""D""",atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,45,88,45,88,133
CAJUATA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,37,87,37,87,124
CALACOTO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,10,33,10,33,43
CALAMARCA,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,98,226,98,226,324
CAMARGO,atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,66,176,66,176,242
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, consultas nuevas de 5 a 59 anos,2014-01-01,9,45,9,45,54
