,group,variable,month,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,atencion odontologica, restauraciones,2014-01-01,6,16,6,16,22
ACHACACHI,atencion odontologica, restauraciones,2014-01-01,66,155,66,155,221
ACHOCALLA,atencion odontologica, restauraciones,2014-01-01,14,16,14,16,30
AIQUILE,atencion odontologica, restauraciones,2014-01-01,53,100,53,100,153
ALCALA,atencion odontologica, restauraciones,2014-01-01,12,35,12,35,47
ANCORAIMES,atencion odontologica, restauraciones,2014-01-01,7,10,7,10,17
ANDAMARCA,atencion odontologica, restauraciones,2014-01-01,22,18,22,18,40
ANTEQUERA,atencion odontologica, restauraciones,2014-01-01,2,14,2,14,16
ANZALDO,atencion odontologica, restauraciones,2014-01-01,9,27,9,27,36
APOLO,atencion odontologica, restauraciones,2014-01-01,34,60,34,60,94
ARAMPAMPA,atencion odontologica, restauraciones,2014-01-01,17,10,17,10,27
ARANI,atencion odontologica, restauraciones,2014-01-01,0,31,0,31,31
ARBIETO,atencion odontologica, restauraciones,2014-01-01,34,71,34,71,105
ARQUE,atencion odontologica, restauraciones,2014-01-01,19,62,19,62,81
ASCENCION DE GUARAYOS,atencion odontologica, restauraciones,2014-01-01,11,56,11,56,67
ATOCHA,atencion odontologica, restauraciones,2014-01-01,228,287,228,287,515
AUCAPATA,atencion odontologica, restauraciones,2014-01-01,8,18,8,18,26
AYATA,atencion odontologica, restauraciones,2014-01-01,5,8,5,8,13
AYO AYO,atencion odontologica, restauraciones,2014-01-01,25,35,25,35,60
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, restauraciones,2014-01-01,148,222,148,222,370
AZURDUY,atencion odontologica, restauraciones,2014-01-01,9,23,9,23,32
BATALLAS,atencion odontologica, restauraciones,2014-01-01,4,20,4,20,24
BAURES,atencion odontologica, restauraciones,2014-01-01,16,27,16,27,43
BELEN DE ANDAMARCA,atencion odontologica, restauraciones,2014-01-01,1,6,1,6,7
BERMEJO,atencion odontologica, restauraciones,2014-01-01,377,622,377,622,999
BETANZOS,atencion odontologica, restauraciones,2014-01-01,72,123,72,123,195
BOLIVAR,atencion odontologica, restauraciones,2014-01-01,2,17,2,17,19
BOYUIBE,atencion odontologica, restauraciones,2014-01-01,9,27,9,27,36
BUENA VISTA,atencion odontologica, restauraciones,2014-01-01,24,30,24,30,54
CABEZAS,atencion odontologica, restauraciones,2014-01-01,27,76,27,76,103
CAIROMA,atencion odontologica, restauraciones,2014-01-01,18,63,18,63,81
"CAIZA ""D""",atencion odontologica, restauraciones,2014-01-01,18,34,18,34,52
CAJUATA,atencion odontologica, restauraciones,2014-01-01,20,46,20,46,66
CALACOTO,atencion odontologica, restauraciones,2014-01-01,17,12,17,12,29
CALAMARCA,atencion odontologica, restauraciones,2014-01-01,43,66,43,66,109
CAMARGO,atencion odontologica, restauraciones,2014-01-01,28,81,28,81,109
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, restauraciones,2014-01-01,15,22,15,22,37
CAMIRI,atencion odontologica, restauraciones,2014-01-01,78,154,78,154,232
CAPINOTA,atencion odontologica, restauraciones,2014-01-01,108,152,108,152,260
CAQUIAVIRI,atencion odontologica, restauraciones,2014-01-01,10,27,10,27,37
CARACOLLO,atencion odontologica, restauraciones,2014-01-01,22,9,22,9,31
CARANAVI,atencion odontologica, restauraciones,2014-01-01,94,112,94,112,206
CARAPARI,atencion odontologica, restauraciones,2014-01-01,121,172,121,172,293
CARIPUYO,atencion odontologica, restauraciones,2014-01-01,8,23,8,23,31
CARMEN RIVERO TORREZ,atencion odontologica, restauraciones,2014-01-01,7,11,7,11,18
CATACORA,atencion odontologica, restauraciones,2014-01-01,19,11,19,11,30
CHALLAPATA,atencion odontologica, restauraciones,2014-01-01,191,291,191,291,482
CHARAGUA,atencion odontologica, restauraciones,2014-01-01,23,58,23,58,81
CHARAÑA,atencion odontologica, restauraciones,2014-01-01,1,9,1,9,10
CHAYANTA,atencion odontologica, restauraciones,2014-01-01,19,40,19,40,59
CHIMORE,atencion odontologica, restauraciones,2014-01-01,59,142,59,142,201
