,group,variable,month,TOTAL 311 ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTAL 311 ACCIONES PREVENTIVAS FUERA DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHOCALLA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,4.0,0.0,4.0,0.0,4.0
AIQUILE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,10.0,7.0,10.0,7.0,17.0
ALCALA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,22.0,16.0,22.0,16.0,38.0
ARAMPAMPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,0.0,1.0,0.0,1.0,1.0
ARQUE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,8.0,12.0,8.0,12.0,20.0
ASCENCION DE GUARAYOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,57.0,82.0,57.0,82.0,139.0
AYATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,9.0,13.0,9.0,13.0,22.0
BERMEJO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,1.0,2.0,1.0,3.0
BETANZOS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,14.0,12.0,14.0,12.0,26.0
CABEZAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,5.0,20.0,5.0,20.0,25.0
CAMARGO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,0.0,298.0,0.0,298.0,298.0
CAMIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,4.0,2.0,4.0,6.0
CAQUIAVIRI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,3.0,2.0,3.0,5.0
CARACOLLO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,31.0,23.0,31.0,23.0,54.0
CARANAVI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,58.0,45.0,58.0,45.0,103.0
CARAPARI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,2.0,1.0,2.0,1.0,3.0
CARIPUYO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,0.0,2.0,0.0,2.0,2.0
CHALLAPATA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,39.0,28.0,39.0,28.0,67.0
CHARAGUA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,41.0,38.0,41.0,38.0,79.0
CHIMORE,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,64.0,74.0,64.0,74.0,138.0
CHUA COCANI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,5.0,5.0,5.0,5.0,10.0
CHUMA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,7.0,11.0,7.0,11.0,18.0
COBIJA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,31.0,27.0,31.0,27.0,58.0
COCHABAMBA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,24.0,38.0,24.0,38.0,62.0
COLLANA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,4.0,4.0,4.0,4.0,8.0
COLOMI,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,4.0,0.0,4.0,0.0,4.0
COMARAPA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,1.0,4.0,1.0,4.0,5.0
COTAGAITA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,4.0,4.0,4.0,4.0,8.0
CUATRO CAÑADAS,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,108.0,84.0,108.0,84.0,192.0
CUEVO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,6.0,17.0,6.0,17.0,23.0
CULPINA,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,8.0,7.0,8.0,7.0,15.0
DESAGUADERO,atencion odontologica,acciones preventivas fuera del establecimiento,2014-01-01,5.0,8.0,5.0,8.0,13.0
