,group,variable,month,AQV MASCULINO < 15,AQV MASCULINO 15 - 19,AQV MASCULINO 20 - 34,AQV MASCULINO 35 - 49,AQV MASCULINO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-01-01,0,0,0,3,0,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-01-01,0,0,1,6,0,7
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-01-01,0,0,6,8,0,14
MECAPACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-01-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-01-01,0,0,1,4,2,7
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-01-01,0,0,2,2,0,4
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-01-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-02-01,0,0,9,4,1,14
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-02-01,0,0,0,3,1,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-02-01,0,0,3,5,0,8
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-02-01,0,0,16,7,0,23
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-03-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-03-01,0,0,16,2,0,18
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-03-01,0,0,2,3,0,5
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-03-01,0,0,50,57,0,107
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-03-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-03-01,0,0,1,4,2,7
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-03-01,0,0,8,5,0,13
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-03-01,0,0,0,1,0,1
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-04-01,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-04-01,0,0,9,6,1,16
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2022-04-01,0,0,1,0,0,1
