,group,variable,month,AQV FEMENINO < 15,AQV FEMENINO 15 - 19,AQV FEMENINO 20 - 34,AQV FEMENINO 35 - 49,AQV FEMENINO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,2,2,0,4
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,1,1,0,0,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,1,0,0,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,2,3,0,5
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,0,3,0,3
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,12,5,0,17
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,47,31,1,79
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,4,0,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,17,7,0,24
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,4,4,0,8
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,1,2,0,3
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,10,3,0,13
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,12,10,0,22
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,9,9,0,18
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,1,3,1,1,6
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,12,9,0,21
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,1,1,0,2
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2022-01-01,0,0,1,0,0,1
