,group,variable,month,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO < 15,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 15 - 19,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 20 - 34,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 35 - 49,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,0,0,5,5,0,10
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,0,1,3,0,0,4
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,0,0,2,1,0,3
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,0,7,21,4,0,32
SAN JAVIER(BNI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,0,0,3,1,0,4
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,0,1,3,1,0,5
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,4,13,16,2,0,35
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,0,0,0,1,0,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-01-01,0,0,0,1,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,8,21,15,0,44
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,12,3,0,15
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres post parto que egresaron con metodo moderno,2022-02-01,0,0,6,4,0,10
