,group,variable,month,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO < 15,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 15 - 19,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 20 - 34,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 35 - 49,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,2,5,1,0,8
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,1,11,6,0,18
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,0,1,0,0,1
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,0,2,1,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,0,3,0,0,3
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,1,3,11,3,0,18
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,1,1,0,0,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,2,1,0,0,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,0,1,0,0,1
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,3,16,3,0,22
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-01-01,0,0,0,2,0,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",n de mujeres despues de aborto que egresaron con metodo moderno,2022-02-01,0,1,2,2,0,5
