,group,variable,month,NÚMERO DE IMPLANTES RETIRADOS < 15,NÚMERO DE IMPLANTES RETIRADOS 15 - 19,NÚMERO DE IMPLANTES RETIRADOS 20 - 34,NÚMERO DE IMPLANTES RETIRADOS 35 - 49,NÚMERO DE IMPLANTES RETIRADOS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,2,0,0,2
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,1,4,0,1,6
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,2,1,0,3
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,3,0,0,3
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,1,1,0,2
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,1,0,0,1
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,2,0,0,2
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,2,2,0,4
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,1,0,0,1
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,5,1,0,6
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,1,2,0,0,3
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,1,1,0,2
BOLPEBRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,1,0,0,1
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,2,0,0,2
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,1,0,0,1
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,2,0,0,2
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,2,0,0,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,1,0,0,1
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,2,0,0,2
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,1,0,0,1
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes retirados,2022-01-01,0,0,5,0,0,5
