,group,variable,month,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS < 15,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 15 - 19,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 20 - 34,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 35 - 49,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 50 Y +,TOTALES
,,,,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,CANTIDAD,TOTAL
municipality,,,,,,,,,
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-01-01,0,0,0,2,2,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-01-01,0,0,12,6,3,21
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-01-01,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-01-01,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-01-01,0,0,0,0,5,5
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-02-01,0,0,4,9,5,18
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-02-01,0,0,0,2,1,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-02-01,0,0,1,2,0,3
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-02-01,0,1,50,30,4,85
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-02-01,0,0,1,4,5,10
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-02-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-03-01,0,0,2,5,9,16
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-03-01,0,0,1,0,0,1
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-03-01,0,2,9,3,2,16
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-03-01,0,0,6,6,6,18
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con estudios mamaograficos positivos,2022-03-01,0,2,1,1,1,5
