municipality,group,variable,month,Total 26.1 Número de viviendas evaluadas entomológicamente,TOTAL
BOYUIBE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,232.0,232.0
CARANAVI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,40.0,40.0
CUATRO CAÑADAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,210.0,210.0
EL TORNO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,7.0,7.0
ENTRE RIOS TRJ,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,170.0,170.0
HUACARETA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,141.0,141.0
MACHARETI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,192.0,192.0
OMEREQUE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,601.0,601.0
PALOS BLANCOS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,40.0,40.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,60.0,60.0
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,0.0,0.0
SUCRE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,713.0,713.0
TIPUANI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,74.0,74.0
URIONDO (A. CONCEPCION),control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-01-01,1.0,1.0
CARANAVI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,316.0,316.0
CHIMORE,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,274.0,274.0
EL TORNO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,24.0,24.0
GUTIERREZ,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,7.0,7.0
LAGUNILLAS,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,17.0,17.0
MACHARETI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,745.0,745.0
MAPIRI,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,235.0,235.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas evaluadas entomologicamente,2014-02-01,3019.0,3019.0
