municipality,group,variable,month,Total 26.2 Número de viviendas positivas,TOTAL
BOYUIBE,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,28.0,28.0
CAMIRI,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,28.0,28.0
CARANAVI,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,8.0,8.0
EL TORNO,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,7.0,7.0
ENTRE RIOS TRJ,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,48.0,48.0
MACHARETI,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,37.0,37.0
OMEREQUE,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,3.0,3.0
PALOS BLANCOS,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,16.0,16.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,6.0,6.0
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,3.0,3.0
SUCRE,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,43.0,43.0
TIPUANI,control vectorial de dengue,      numero de viviendas positivas,2014-01-01,14.0,14.0
CAMIRI,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,20.0,20.0
CARANAVI,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,113.0,113.0
CHIMORE,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,33.0,33.0
EL TORNO,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,11.0,11.0
GUTIERREZ,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,3.0,3.0
MACHARETI,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,115.0,115.0
MAPIRI,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,78.0,78.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,201.0,201.0
MONTERO,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,86.0,86.0
PAILON,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,91.0,91.0
PALOS BLANCOS,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,6.0,6.0
PORONGO,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,19.0,19.0
PUERTO VILLARROEL,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,3.0,3.0
SAIPINA,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,10.0,10.0
SAN BUENA VENTURA,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,75.0,75.0
SAN IGNACIO,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,18.0,18.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,5.0,5.0
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,1.0,1.0
SUCRE,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,308.0,308.0
TEOPONTE,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,55.0,55.0
TIPUANI,control vectorial de dengue,      numero de viviendas positivas,2014-02-01,9.0,9.0
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,      numero de viviendas positivas,2014-02-01,134.0,134.0
BERMEJO,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,2.0,2.0
BUENA VISTA,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,34.0,34.0
CARANAVI,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,150.0,150.0
CHIMORE,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,52.0,52.0
FERNANDEZ ALONSO,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,35.0,35.0
GENERAL SAAVEDRA,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,12.0,12.0
GUTIERREZ,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,12.0,12.0
HUACARETA,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,16.0,16.0
IXIAMAS,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,79.0,79.0
LAGUNILLAS,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,65.0,65.0
MACHARETI,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,40.0,40.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,249.0,249.0
MONTERO,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,167.0,167.0
PALOS BLANCOS,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,261.0,261.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,6.0,6.0
SAN PEDRO,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,58.0,58.0
SANTA ROSA,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,65.0,65.0
SANTA ROSA DEL SARA,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,71.0,71.0
SUCRE,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,6.0,6.0
TEOPONTE,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,13.0,13.0
TIPUANI,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,13.0,13.0
WARNES,control vectorial de dengue,      numero de viviendas positivas,2014-03-01,4.0,4.0
BOYUIBE,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,70.0,70.0
CABEZAS,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,4.0,4.0
CAMIRI,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,6.0,6.0
ENTRE RIOS TRJ,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,4.0,4.0
GENERAL SAAVEDRA,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,120.0,120.0
GUTIERREZ,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,25.0,25.0
LAGUNILLAS,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,2.0,2.0
MACHARETI,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,111.0,111.0
MINEROS,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,4.0,4.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,171.0,171.0
PRESTO,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,8.0,8.0
SAN IGNACIO,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,23.0,23.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,10.0,10.0
SANTA CRUZ DE LA SIERRA,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,6.0,6.0
SUCRE,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,7.0,7.0
TEOPONTE,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,11.0,11.0
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,      numero de viviendas positivas,2014-04-01,65.0,65.0
YACUIBA,control vectorial de dengue,      numero de viviendas positivas,2014-04-01,89.0,89.0
BOYUIBE,control vectorial de dengue,      numero de viviendas positivas,2014-05-01,25.0,25.0
CHIMORE,control vectorial de dengue,      numero de viviendas positivas,2014-05-01,4.0,4.0
GUAYARAMERIN,control vectorial de dengue,      numero de viviendas positivas,2014-05-01,18.0,18.0
MACHARETI,control vectorial de dengue,      numero de viviendas positivas,2014-05-01,59.0,59.0
MAPIRI,control vectorial de dengue,      numero de viviendas positivas,2014-05-01,16.0,16.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas positivas,2014-05-01,95.0,95.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas positivas,2014-05-01,20.0,20.0
SAN LUCAS,control vectorial de dengue,      numero de viviendas positivas,2014-05-01,27.0,27.0
VILLA VACA GUZMAN (MUYUPAMPA),control vectorial de dengue,      numero de viviendas positivas,2014-05-01,45.0,45.0
HUACARETA,control vectorial de dengue,      numero de viviendas positivas,2014-06-01,7.0,7.0
MAPIRI,control vectorial de dengue,      numero de viviendas positivas,2014-06-01,7.0,7.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas positivas,2014-06-01,25.0,25.0
TEOPONTE,control vectorial de dengue,      numero de viviendas positivas,2014-06-01,4.0,4.0
EL TORNO,control vectorial de dengue,      numero de viviendas positivas,2014-07-01,105.0,105.0
GENERAL SAAVEDRA,control vectorial de dengue,      numero de viviendas positivas,2014-07-01,10.0,10.0
MONTERO,control vectorial de dengue,      numero de viviendas positivas,2014-07-01,123.0,123.0
PUERTO VILLARROEL,control vectorial de dengue,      numero de viviendas positivas,2014-07-01,41.0,41.0
SAN LUCAS,control vectorial de dengue,      numero de viviendas positivas,2014-07-01,9.0,9.0
YACUIBA,control vectorial de dengue,      numero de viviendas positivas,2014-07-01,7.0,7.0
CARANAVI,control vectorial de dengue,      numero de viviendas positivas,2014-08-01,24.0,24.0
CHIMORE,control vectorial de dengue,      numero de viviendas positivas,2014-08-01,49.0,49.0
MAPIRI,control vectorial de dengue,      numero de viviendas positivas,2014-08-01,20.0,20.0
PUERTO VILLARROEL,control vectorial de dengue,      numero de viviendas positivas,2014-08-01,80.0,80.0
SAN JULIAN,control vectorial de dengue,      numero de viviendas positivas,2014-08-01,2.0,2.0
SAN LUCAS,control vectorial de dengue,      numero de viviendas positivas,2014-08-01,1.0,1.0
CHIMORE,control vectorial de dengue,      numero de viviendas positivas,2014-09-01,3.0,3.0
EL TORNO,control vectorial de dengue,      numero de viviendas positivas,2014-09-01,36.0,36.0
MACHARETI,control vectorial de dengue,      numero de viviendas positivas,2014-09-01,30.0,30.0
MONTEAGUDO,control vectorial de dengue,      numero de viviendas positivas,2014-09-01,2.0,2.0
MONTERO,control vectorial de dengue,      numero de viviendas positivas,2014-09-01,40.0,40.0
PUERTO VILLARROEL,control vectorial de dengue,      numero de viviendas positivas,2014-09-01,59.0,59.0
SUCRE,control vectorial de dengue,      numero de viviendas positivas,2014-09-01,19.0,19.0
