,group,variable,month,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
"CAIZA ""D""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,0,1,1
CLIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,7,8,15
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,11,0,11
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,3,0,3
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,17,9,26
EL TORNO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,1,0,1
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,4,1,5
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,8,5,13
ICLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,0,5,5
INCAHUASI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,1,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,2,0,2
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,5,24,29
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,3,1,4
MAGDALENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,5,0,5
MAIRANA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,1,0,1
PALOS BLANCOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,2,0,2
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,4,0,4
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,2,1,3
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,5,0,5
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,8,13,21
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,1,1,2
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,3,0,3
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,0,1,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,7,0,7
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,2,1,3
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,6,1,7
SAN RAFAEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,3,0,3
SAN RAMON BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,132,4,136
SENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,2,1,3
SORACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,1,2,3
SORATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,0,1,1
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,23,0,23
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,13,1,14
TIQUIPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,1,0,1
TOLEDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,0,1,1
TUPIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,0,2,2
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,2,0,2
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-01-01,15,1,16
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,0,7,7
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,0,1,1
CATACORA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,4,0,4
CHALLAPATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,3,0,3
CHIMORE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
CLIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,3,0,3
COBIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,7,7,14
COCHABAMBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,10,1,11
COLCAPIRHUA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
"COLCHA ""K""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
EL ALTO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,22,3,25
GUAYARAMERIN,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,8,2,10
INQUISIVI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,0,2,2
LA GUARDIA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,4,2,6
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
LAS CARRERAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
MAGDALENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,5,0,5
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,12,0,12
PAZÑA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
POTOSI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,2,0,2
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,2,0,2
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,12,12,24
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,3,6,9
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
RURRENABAQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
SACABA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
SAIPINA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,0,1,1
SAN ANDRES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,37,0,37
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,3,0,3
SAN MATIAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,3,2,5
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,2,4,6
SAN RAFAEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,10,4,14
SAN RAMON BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,43,12,55
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,4,3,7
SENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,1,0,1
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,27,4,31
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,0,2,2
TIQUIPAYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,6,0,6
TOTORA(ORR),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,4,0,4
VILLA CHARCAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,4,0,4
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,4,0,4
WARNES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,2,0,2
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,2,0,2
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-02-01,2,0,2
ACHOCALLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,0,1,1
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2011-03-01,1,0,1
