municipality,group,variable,month,BCG -DENTRO,TOTAL DENTRO,BCG -FUERA,TOTAL FUERA
ACACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,11,11
ACHACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,53,53,48,48
ACHOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,15,15
AIQUILE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,41,41,9,9
ALALAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,5,5,1,1
ALCALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,5,5,0,0
ANCORAIMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,20,20
ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,2,2,1,1
ANTEQUERA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,0,0
ANZALDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,8,8,6,6
APOLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,21,21,19,19
ARAMPAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,11,11
ARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,13,13,0,0
ARBIETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,5,5,6,6
ARQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,10,10,1,1
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,77,77,2,2
ATOCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,16,16,4,4
AUCAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,0,0,2,2
AYATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,13,13
AYO AYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2007-01-01,1,1,13,13
