,group,variable,month,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,0,1,0,1
AIQUILE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,2,1,2,1,3
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,4,3,4,3,7
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,3,1,3,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,5,1,5,6
COLOMI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,0,1,0,1,1
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,0,1,0,1
CORO CORO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,0,1,0,1,1
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,0,1,0,1,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,3,0,3,0,3
CURAHUARA DE CARANGAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,2,0,2,0,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,7,6,7,6,13
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,0,2,0,2,2
FERNANDEZ ALONSO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,0,1,0,1
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,4,1,4,1,5
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,1,1,1,2
HUANUNI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,1,1,1,2
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,2,1,2,1,3
LLALLAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,0,1,0,1
LURIBAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,3,2,3,2,5
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,1,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,3,3,3,3,6
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,2,1,2,1,3
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,3,2,3,2,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,10,4,10,4,14
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,0,1,0,1
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,0,1,0,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,0,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2010-01-01,3,0,3,0,3
