,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,2,0,2,2
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
BELEN DE ANDAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,7,1,7,1,8
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,2,0,2,2
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,1,1,1,2
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,1,2,1,3
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,9,7,9,7,16
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,6,1,6,1,7
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,1,2,1,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,19,14,19,14,33
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
COLQUENCHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
COLQUIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,2,0,2,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,1,2,1,3
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,3,0,3,0,3
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
CURAHUARA DE CARANGAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,32,16,32,16,48
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,2,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,1,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,2,0,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,3,2,3,2,5
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,0,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,1,2,1,2,3
ICHOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2010-01-01,0,1,0,1,1
