,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
ARQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
BELEN DE ANDAMARCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,13,1,13,1,14
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,1,1,1,2
CAMARGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,1,1,1,2
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,1,2,1,3
CARACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,6,7,6,7,13
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,0,2,0,2
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,5,1,5,1,6
CLIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,1,2,1,3
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,13,8,13,8,21
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,0,2,0,2
COLOMI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
COLQUECHACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
COLQUENCHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
COLQUIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,1,2,1,3
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,1,1,1,2
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,3,0,3,0,3
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
CURAHUARA DE CARANGAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,19,13,19,13,32
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,1,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,1,1,1,2
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,2,0,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,0,1,0,1,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,3,2,3,2,5
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2010-01-01,1,0,1,0,1
