,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA PAUSIBACILAR (P.Q.T.) CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-01-01,1.0,1.0,1.0,1.0,2.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-01-01,0.0,2.0,0.0,2.0,2.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-01-01,2.0,0.0,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-03-01,0.0,0.0,0.0,0.0,0.0
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-03-01,0.0,1.0,0.0,1.0,1.0
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-04-01,1.0,0.0,1.0,0.0,1.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-04-01,1.0,1.0,1.0,1.0,2.0
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-04-01,1.0,1.0,1.0,1.0,2.0
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-04-01,0.0,1.0,0.0,1.0,1.0
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-04-01,1.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-04-01,1.0,0.0,1.0,0.0,1.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-05-01,0.0,1.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-05-01,1.0,0.0,1.0,0.0,1.0
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-06-01,3.0,4.0,3.0,4.0,7.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-06-01,1.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-06-01,0.0,0.0,0.0,0.0,0.0
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-06-01,1.0,0.0,1.0,0.0,1.0
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-07-01,0.0,1.0,0.0,1.0,1.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-07-01,1.0,0.0,1.0,0.0,1.0
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-07-01,0.0,1.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-07-01,0.0,0.0,0.0,0.0,0.0
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-07-01,0.0,1.0,0.0,1.0,1.0
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-08-01,1.0,0.0,1.0,0.0,1.0
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-08-01,1.0,0.0,1.0,0.0,1.0
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema pausibacilar (p.q.t.),2010-08-01,1.0,2.0,1.0,2.0,3.0
