,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR (P.Q.T.) CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MULTIBACILAR (P.Q.T.) CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-01-01,2.0,0.0,2.0,0.0,2.0
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-01-01,2.0,0.0,2.0,0.0,2.0
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-01-01,1.0,1.0,1.0,1.0,2.0
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-01-01,8.0,0.0,8.0,0.0,8.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-01-01,7.0,0.0,7.0,0.0,7.0
PUERTO RICO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-02-01,0.0,1.0,0.0,1.0,1.0
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-03-01,6.0,4.0,6.0,4.0,10.0
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-03-01,0.0,1.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-03-01,0.0,0.0,0.0,0.0,0.0
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-03-01,5.0,20.0,5.0,20.0,25.0
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-04-01,0.0,1.0,0.0,1.0,1.0
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-04-01,4.0,4.0,4.0,4.0,8.0
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-05-01,1.0,0.0,1.0,0.0,1.0
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-05-01,1.0,0.0,1.0,0.0,1.0
PUERTO RICO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-05-01,0.0,1.0,0.0,1.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-06-01,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-07-01,0.0,0.0,0.0,0.0,0.0
PUERTO GONZALO MORENO,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-08-01,0.0,2.0,0.0,2.0,2.0
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-08-01,1.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-08-01,0.0,0.0,0.0,0.0,0.0
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-08-01,5.0,0.0,5.0,0.0,5.0
"COLCHA ""K""",tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-09-01,40.0,15.0,40.0,15.0,55.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-09-01,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-10-01,0.0,0.0,0.0,0.0,0.0
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,tratamientos iniciados con esquema multibacilar (p.q.t.),2010-12-01,1.0,0.0,1.0,0.0,1.0
