,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,2,0,2,0,2
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,2,0,2,0,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,3,1,3,1,4
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,3,1,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,1,1,1,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,0,1,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,9,2,9,2,11
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,2,1,2,1,3
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,0,1,0,1,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,9,4,9,4,13
SENA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
TINGUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,0,1,0,1,1
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,0,1,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,2,0,2,0,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-01-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,2,1,2,1,3
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,0,1,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,3,1,3,1,4
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,0,1,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2010-02-01,1,0,1,0,1
