,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,0,1,0,1,1
AYATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,7,7,7,7,14
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,0,1,0,1,1
CORO CORO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,14,3,14,3,17
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,39,26,39,26,65
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
MAGDALENA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,1,1,1,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,5,4,5,4,9
PAILON,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
PAMPA GRANDE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
PORONGO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,0,1,0,1,1
PORTACHUELO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,2,2,2,2,4
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,1,1,1,2
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,17,7,17,7,24
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,0,1,0,1,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,0,4,0,4,4
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,3,0,3,0,3
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,3,0,3,0,3
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,4,0,4,0,4
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,0,1,0,1,1
VILLA MONTES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,2,0,2,0,2
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,0,1,0,1,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos,2010-01-01,1,0,1,0,1
