,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ALTO BENI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,0,1,0,1,1
ARBIETO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,2,2,2,2,4
AZURDUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,6,0,6,0,6
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,0,1,0,1,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,2,3,2,3,5
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,2,3,2,3,5
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,2,1,2,1,3
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,5,7,5,7,12
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,2,0,2,0,2
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,0,3,0,3,3
CULPINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,10,5,10,5,15
EL PUENTE(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,1,1,1,2
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,1,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,2,1,2,3
GUTIERREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
ICLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,8,2,8,2,10
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,3,0,3,0,3
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,4,1,4,1,5
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,3,0,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,3,2,3,2,5
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,0,1,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,0,3,0,3,3
QUIME,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,3,0,3,0,3
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2010-01-01,1,0,1,0,1
