,group,variable,month,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
ACHACACHI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,5,6,5,11
ACHOCALLA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
AIQUILE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,4,3,4,7
ALALAY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,1,0,1,1
ALCALA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
ALTO BENI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,3,3,3,6
ANCORAIMES,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,0,6,0,6
ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
ANTEQUERA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
ANZALDO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,0,2,0,2
APOLO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
ARANI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
ARBIETO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,0,2,0,2,2
ARQUE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,3,1,3,4
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,10,8,10,8,18
AUCAPATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,2,1,2,3
AYATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,5,3,5,8
AZURDUY,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,0,3,0,3
BATALLAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,5,4,5,9
BELEN DE ANDAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,1,1,1,2
BELEN DE URMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
BERMEJO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,21,17,21,17,38
BETANZOS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,4,5,4,9
BOLIVAR,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
BOYUIBE,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,2,2,2,4
BUENA VISTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,2,2,2,4
CABEZAS,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,15,3,15,3,18
CAIROMA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
CAJUATA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,1,0,1,0,1
CALACOTO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,3,1,3,1,4
CALAMARCA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,0,5,0,5
CAMARGO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,6,3,6,3,9
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,2,1,2,1,3
CAMIRI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,5,10,5,10,15
CAPINOTA,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,6,4,6,10
CARACOLLO,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,4,4,4,4,8
CARANAVI,tuberculosis y lepra,n de sintomaticos respiratorios,2010-01-01,55,40,55,40,95
