,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ALTO BENI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
ANZALDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
CAMARGO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,4,1,4,1,5
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,4,1,4,5
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,4,2,4,2,6
COTOCA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,11,12,11,12,23
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,0,1,0,1,1
EL VILLAR,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,3,1,3,4
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,20,15,20,15,35
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,6,7,6,7,13
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,3,3,3,3,6
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,2,3,2,3,5
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,0,1,0,1,1
SAN JAVIER(STC),tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,3,1,3,1,4
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,5,2,5,2,7
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,4,1,4,1,5
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,0,2,0,2,2
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,0,1,0,1,1
TOCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,3,1,3,1,4
VILLA MONTES,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,2,2,2,2,4
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,1,0,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,3,0,3,0,3
YUNCHARA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-01-01,0,2,0,2,2
ALTO BENI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,0,1,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,1,1,1,1,2
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,2,0,2,0,2
CHARAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,8,6,8,6,14
CHIMORE,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,0,1,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2010-02-01,5,3,5,3,8
