municipality,group,variable,month,BCG -DENTRO,TOTAL DENTRO,BCG -FUERA,TOTAL FUERA
ACACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,8,8
ACHACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,51,51,55,55
ACHOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,22,22
AIQUILE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,21,21,8,8
ALALAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,9,9,7,7
ALCALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,6,6
ANCORAIMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,39,39
ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,7,7
ANTEQUERA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,9,9
ANZALDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,11,11,18,18
APOLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,21,21,17,17
ARAMPAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,1,1,18,18
ARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,5,5,4,4
ARBIETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,4,4
ARQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,20,20,15,15
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,46,46,2,2
ATOCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,12,12,1,1
AUCAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,4,4
AYATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,7,7,40,40
AYO AYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,11,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,28,28,19,19
AZURDUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,9,9,27,27
BATALLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,15,15,22,22
BAURES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,5,5,0,0
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,2,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,6,6,0,0
BELLA FLOR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,10,10
BERMEJO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,40,40,0,0
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,17,17,9,9
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,12,12,15,15
BOLPEBRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,4,4
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,5,5
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,13,13,13,13
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,14,14,26,26
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,7,7
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,8,8
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,23,23,7,7
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,1,1,1,1
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,12,12,17,17
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,33,33,9,9
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,2,2
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,39,39,31,31
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,32,32,11,11
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,3,3
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,23,23,13,13
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,81,81,24,24
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,11,11,11,11
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,11,11
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,5,5,2,2
CATACORA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,12,12
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,37,37,38,38
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,2,2
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,27,27,17,17
CHARAÑA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,6,6
CHAYANTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,19,19
CHIMORE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,29,29,13,13
CHIPAYA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,0,0
CHOQUE COTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,7,7
CHUMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,4,4
CLIZA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,47,47,3,3
COBIJA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,63,63,0,0
COCHABAMBA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,1464,1464,3,3
COIPASA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,0,0
COLCAPIRHUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,30,30,0,0
"COLCHA ""K""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,2,2
COLLANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,5,5
COLOMI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,48,48,11,11
COLPA BELGICA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,6,6,0,0
COLQUECHACA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,65,65
COLQUENCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,1,1,12,12
COLQUIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,18,18
COMANCHE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,4,4
COMARAPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,17,17,6,6
CONCEPCION,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,29,29,0,0
COPACABANA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,13,13,17,17
CORIPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,10,10,12,12
CORO CORO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,6,6
COROICO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,21,21,2,2
CORQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,1,1,6,6
COTAGAITA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,4,4,26,26
COTOCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,99,99,10,10
CUATRO CAÑADAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,11,11,2,2
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,2,2
CUEVO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,2,2,7,7
CULPINA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,16,16,17,17
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,2,2
DESAGUADERO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,3,3,3,3
EL ALTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,1564,1564,1,1
EL PUENTE(STC),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,5,5,8,8
EL PUENTE(TJA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,0,0,19,19
EL TORNO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,50,50,1,1
EL VILLAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,8,8,1,1
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,47,47,7,7
ENTRE RIOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,14,14,11,11
EUCALIPTUS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,bcg,2005-01-01,6,6,6,6
