municipality,group,variable,month,Polio 2da dosis -DENTRO,TOTAL DENTRO,Polio 2da dosis -FUERA,TOTAL FUERA
ACACIO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,5,5
ACHACACHI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,21,21,46,46
ACHOCALLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,5,5,23,23
AIQUILE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,18,18,14,14
ALALAY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,5,5
ALCALA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,4,4
ANCORAIMES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,1,1,26,26
ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,1,1,3,3
ANTEQUERA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,7,7,8,8
ANZALDO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,8,8,10,10
APOLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,18,18,23,23
ARAMPAMPA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,4,4,5,5
ARANI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,11,11,9,9
ARBIETO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,4,4,7,7
ARQUE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,9,9,9,9
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,26,26,3,3
ATOCHA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,15,15,3,3
AUCAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,3,3
AYATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,3,3,14,14
AYO AYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,9,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,19,19,23,23
AZURDUY,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,14,14,22,22
BATALLAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,7,7,13,13
BAURES,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,8,8,0,0
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,3,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,0,0
BELLA FLOR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,3,3
BERMEJO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,47,47,2,2
BETANZOS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,20,20,18,18
BOLIVAR,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,5,5,13,13
BOLPEBRA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,4,4
BOYUIBE,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,6,6,3,3
BUENA VISTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,25,25,13,13
CABEZAS,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,14,14,18,18
CAIROMA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,16,16
"CAIZA ""D""",vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,7,7
CAJUATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,18,18,10,10
CALACOTO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,5,5
CALAMARCA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,10,10,12,12
CAMARGO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,11,11,14,14
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,4,4
CAMIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,30,30,15,15
CAPINOTA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,17,17,27,27
CAQUIAVIRI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,14,14
CARACOLLO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,21,21,14,14
CARANAVI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,30,30,25,25
CARAPARI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,8,8,9,9
CARIPUYO,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,8,8
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,2,2,1,1
CATACORA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,2,2
CHACARILLA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,0,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,17,17,45,45
CHAQUI,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,5,5,2,2
CHARAGUA,vacunaciones en menores de 1 ano dentro del servicio y fuera del servicio,polio 2da dosis,2005-01-01,8,8,14,14
