municipality,group,variable,month,Tratamientos iniciados en el mes por agente comun,TOTAL
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,61,61
ENTRE RIOS,malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,1,1
GUANAY,malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,2,2
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,6,6
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,2,2
MAPIRI,malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,12,12
POROMA,malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,5,5
RIBERALTA,malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,1,1
SENA,malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,3,3
UNCIA,malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,4,4
YACUIBA,malaria,tratamientos iniciados en el mes por agente comun,2006-01-01,75,75
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,2,2
BERMEJO,malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,17,17
GUANAY,malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,6,6
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,6,6
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,3,3
MAPIRI,malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,1,1
MIZQUE,malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,5,5
POROMA,malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,11,11
VILA VILA,malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,6,6
YAPACANI,malaria,tratamientos iniciados en el mes por agente comun,2006-02-01,1,1
AZURDUY,malaria,tratamientos iniciados en el mes por agente comun,2006-03-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2006-03-01,2,2
ENTRE RIOS,malaria,tratamientos iniciados en el mes por agente comun,2006-03-01,7,7
GUANAY,malaria,tratamientos iniciados en el mes por agente comun,2006-03-01,3,3
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-03-01,5,5
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por agente comun,2006-03-01,4,4
PADILLA,malaria,tratamientos iniciados en el mes por agente comun,2006-03-01,1,1
PASORAPA,malaria,tratamientos iniciados en el mes por agente comun,2006-03-01,4,4
SAN LORENZO(TJA),malaria,tratamientos iniciados en el mes por agente comun,2006-03-01,1,1
TEOPONTE,malaria,tratamientos iniciados en el mes por agente comun,2006-03-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2006-03-01,19,19
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2006-04-01,3,3
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-04-01,23,23
PADCAYA,malaria,tratamientos iniciados en el mes por agente comun,2006-04-01,2,2
POROMA,malaria,tratamientos iniciados en el mes por agente comun,2006-04-01,15,15
TORO TORO,malaria,tratamientos iniciados en el mes por agente comun,2006-04-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2006-04-01,1,1
YACUIBA,malaria,tratamientos iniciados en el mes por agente comun,2006-04-01,2,2
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,2,2
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,21,21
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,4,4
MIZQUE,malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,5,5
OMEREQUE,malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,1,1
PASORAPA,malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,2,2
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,9,9
SENA,malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,8,8
TORO TORO,malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,7,7
YACUIBA,malaria,tratamientos iniciados en el mes por agente comun,2006-05-01,2,2
COTAGAITA,malaria,tratamientos iniciados en el mes por agente comun,2006-06-01,5,5
ENTRE RIOS,malaria,tratamientos iniciados en el mes por agente comun,2006-06-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2006-06-01,159,159
MAPIRI,malaria,tratamientos iniciados en el mes por agente comun,2006-06-01,1,1
PADCAYA,malaria,tratamientos iniciados en el mes por agente comun,2006-06-01,1,1
