municipality,group,variable,month,Muestras tomadas por agente comunario,TOTAL
AZURDUY,malaria,muestras tomadas por agente comunario,2006-01-01,1,1
BAURES,malaria,muestras tomadas por agente comunario,2006-01-01,44,44
BERMEJO,malaria,muestras tomadas por agente comunario,2006-01-01,111,111
BUENA VISTA,malaria,muestras tomadas por agente comunario,2006-01-01,2,2
CARAPARI,malaria,muestras tomadas por agente comunario,2006-01-01,23,23
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-01-01,17,17
GUANAY,malaria,muestras tomadas por agente comunario,2006-01-01,15,15
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-01-01,11,11
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-01-01,107,107
MAPIRI,malaria,muestras tomadas por agente comunario,2006-01-01,8,8
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-01-01,4,4
NUEVO MANOA (NUEVA ESPERANZA),malaria,muestras tomadas por agente comunario,2006-01-01,143,143
PADCAYA,malaria,muestras tomadas por agente comunario,2006-01-01,7,7
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2006-01-01,4,4
POROMA,malaria,muestras tomadas por agente comunario,2006-01-01,5,5
PORVENIR,malaria,muestras tomadas por agente comunario,2006-01-01,5,5
SAN PEDRO(PND),malaria,muestras tomadas por agente comunario,2006-01-01,1,1
SENA,malaria,muestras tomadas por agente comunario,2006-01-01,10,10
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-01-01,9,9
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2006-01-01,26,26
YACUIBA,malaria,muestras tomadas por agente comunario,2006-01-01,3,3
AIQUILE,malaria,muestras tomadas por agente comunario,2006-02-01,56,56
AZURDUY,malaria,muestras tomadas por agente comunario,2006-02-01,10,10
BAURES,malaria,muestras tomadas por agente comunario,2006-02-01,39,39
BERMEJO,malaria,muestras tomadas por agente comunario,2006-02-01,51,51
CARAPARI,malaria,muestras tomadas por agente comunario,2006-02-01,15,15
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-02-01,14,14
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-02-01,1,1
GUANAY,malaria,muestras tomadas por agente comunario,2006-02-01,23,23
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-02-01,21,21
MAGDALENA,malaria,muestras tomadas por agente comunario,2006-02-01,53,53
MAPIRI,malaria,muestras tomadas por agente comunario,2006-02-01,8,8
MIZQUE,malaria,muestras tomadas por agente comunario,2006-02-01,5,5
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2006-02-01,14,14
POJO (CBBA),malaria,muestras tomadas por agente comunario,2006-02-01,30,30
POROMA,malaria,muestras tomadas por agente comunario,2006-02-01,11,11
RIBERALTA,malaria,muestras tomadas por agente comunario,2006-02-01,106,106
SANTA ROSA,malaria,muestras tomadas por agente comunario,2006-02-01,6,6
SENA,malaria,muestras tomadas por agente comunario,2006-02-01,11,11
VILA VILA,malaria,muestras tomadas por agente comunario,2006-02-01,1,1
VILLA MONTES,malaria,muestras tomadas por agente comunario,2006-02-01,25,25
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2006-02-01,19,19
YACUIBA,malaria,muestras tomadas por agente comunario,2006-02-01,6,6
BAURES,malaria,muestras tomadas por agente comunario,2006-03-01,60,60
BERMEJO,malaria,muestras tomadas por agente comunario,2006-03-01,36,36
CARAPARI,malaria,muestras tomadas por agente comunario,2006-03-01,8,8
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2006-03-01,28,28
GUANAY,malaria,muestras tomadas por agente comunario,2006-03-01,13,13
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2006-03-01,33,33
HUARACAJE,malaria,muestras tomadas por agente comunario,2006-03-01,8,8
