municipality,group,variable,month,Tratamientos iniciados en el mes por personal de,TOTAL
ACACIO,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
ARAMPAMPA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,15,15
BAURES,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,313,313
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,7,7
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,10,10
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,6,6
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,50,50
CHARAGUA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,3,3
CHIMORE,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,5,5
CONCEPCION,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,4,4
CULPINA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,4,4
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,14,14
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2006-01-01,3,3
FILADELFIA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,3,3
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,22,22
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,261,261
GUTIERREZ,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,3,3
INCAHUASI,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,9,9
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
LA GUARDIA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,5,5
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,8,8
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
MACHARETI,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
MAIRANA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
MOJOCOYA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,11,11
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-01-01,11,11
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2006-01-01,18,18
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,7,7
PADILLA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,9,9
PASORAPA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
POROMA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,9,9
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,22,22
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,6,6
QUILLACOLLO,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,584,584
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,3,3
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,19,19
SAN JULIAN,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,5,5
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-01-01,9,9
SAN LORENZO(TJA),malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
SAN PEDRO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
SAN RAFAEL,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,23,23
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,51,51
TARIJA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
TARVITA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,4,4
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,11,11
TOMINA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,4,4
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,3,3
TRINIDAD,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
UNCIA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
UYUNI,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,13,13
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2006-01-01,28,28
VILLA SERRANO,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
VILLA TUNARI,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2006-01-01,24,24
VITICHI,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,2,2
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2006-01-01,238,238
AIQUILE,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,2,2
ANZALDO,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
APOLO,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,3,3
ARAMPAMPA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,3,3
ASCENCION DE GUARAYOS,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,4,4
BAURES,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,5,5
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,3,3
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,73,73
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,8,8
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,7,7
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,4,4
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,24,24
CHIMORE,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,2,2
CULPINA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,2,2
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,7,7
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2006-02-01,4,4
EXALTACION,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
FILADELFIA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,2,2
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,7,7
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,217,217
GUTIERREZ,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,2,2
ICLA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por personal de,2006-02-01,6,6
IXIAMAS,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,25,25
LA GUARDIA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,19,19
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,3,3
MAGDALENA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,3,3
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,5,5
MOJOCOYA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,2,2
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,12,12
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2006-02-01,10,10
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2006-02-01,22,22
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,15,15
PADILLA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,24,24
PALOS BLANCOS,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
PAMPA GRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,2,2
POROMA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,14,14
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,17,17
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,2,2
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,5,5
REYES,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,8,8
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,473,473
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,3,3
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,71,71
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2006-02-01,12,12
SAN LUCAS,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,21,21
SAN RAFAEL,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,2,2
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,9,9
SENA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,40,40
SOPACHUY,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,3,3
TACACOMA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,15,15
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,4,4
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,7,7
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,4,4
VILA VILA,malaria,tratamientos iniciados en el mes por personal de,2006-02-01,1,1
