municipality,group,variable,month,Muestras tomadas por personal de salud,TOTAL
ACACIO,malaria,muestras tomadas por personal de salud,2006-01-01,8,8
AIQUILE,malaria,muestras tomadas por personal de salud,2006-01-01,7,7
AZURDUY,malaria,muestras tomadas por personal de salud,2006-01-01,472,472
BAURES,malaria,muestras tomadas por personal de salud,2006-01-01,29,29
BELLA FLOR,malaria,muestras tomadas por personal de salud,2006-01-01,12,12
BERMEJO,malaria,muestras tomadas por personal de salud,2006-01-01,2885,2885
BUENA VISTA,malaria,muestras tomadas por personal de salud,2006-01-01,5,5
CABEZAS,malaria,muestras tomadas por personal de salud,2006-01-01,7,7
CARANAVI,malaria,muestras tomadas por personal de salud,2006-01-01,38,38
CARAPARI,malaria,muestras tomadas por personal de salud,2006-01-01,756,756
CHARAGUA,malaria,muestras tomadas por personal de salud,2006-01-01,3,3
CHIMORE,malaria,muestras tomadas por personal de salud,2006-01-01,2,2
COLOMI,malaria,muestras tomadas por personal de salud,2006-01-01,1,1
CULPINA,malaria,muestras tomadas por personal de salud,2006-01-01,1,1
EL TORNO,malaria,muestras tomadas por personal de salud,2006-01-01,65,65
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2006-01-01,170,170
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por personal de salud,2006-01-01,27,27
FILADELFIA,malaria,muestras tomadas por personal de salud,2006-01-01,19,19
GUANAY,malaria,muestras tomadas por personal de salud,2006-01-01,149,149
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2006-01-01,1828,1828
HUACARETA,malaria,muestras tomadas por personal de salud,2006-01-01,23,23
INCAHUASI,malaria,muestras tomadas por personal de salud,2006-01-01,8,8
INGAVI (HUMAITA),malaria,muestras tomadas por personal de salud,2006-01-01,20,20
LA ASUNTA,malaria,muestras tomadas por personal de salud,2006-01-01,69,69
LA GUARDIA,malaria,muestras tomadas por personal de salud,2006-01-01,26,26
LA PAZ,malaria,muestras tomadas por personal de salud,2006-01-01,75,75
LAGUNILLAS,malaria,muestras tomadas por personal de salud,2006-01-01,1,1
MACHARETI,malaria,muestras tomadas por personal de salud,2006-01-01,4,4
