municipality,group,variable,month,Viviendas rociadas por personal de salud,TOTAL
BERMEJO,malaria,viviendas rociadas por personal de salud,2006-01-01,1321,1321
BUENA VISTA,malaria,viviendas rociadas por personal de salud,2006-01-01,5,5
CARAPARI,malaria,viviendas rociadas por personal de salud,2006-01-01,399,399
COBIJA,malaria,viviendas rociadas por personal de salud,2006-01-01,9,9
PORVENIR,malaria,viviendas rociadas por personal de salud,2006-01-01,68,68
PUERTO GONZALO MORENO,malaria,viviendas rociadas por personal de salud,2006-01-01,40,40
PUERTO SUAREZ,malaria,viviendas rociadas por personal de salud,2006-01-01,40,40
RIBERALTA,malaria,viviendas rociadas por personal de salud,2006-01-01,22,22
SAN LORENZO(PND),malaria,viviendas rociadas por personal de salud,2006-01-01,3,3
SENA,malaria,viviendas rociadas por personal de salud,2006-01-01,14,14
YACUIBA,malaria,viviendas rociadas por personal de salud,2006-01-01,7,7
ASCENCION DE GUARAYOS,malaria,viviendas rociadas por personal de salud,2006-02-01,1,1
BAURES,malaria,viviendas rociadas por personal de salud,2006-02-01,117,117
BUENA VISTA,malaria,viviendas rociadas por personal de salud,2006-02-01,2,2
CABEZAS,malaria,viviendas rociadas por personal de salud,2006-02-01,6,6
COLCAPIRHUA,malaria,viviendas rociadas por personal de salud,2006-02-01,2,2
EUREKA (SANTOS MERCADO),malaria,viviendas rociadas por personal de salud,2006-02-01,14,14
PALOS BLANCOS,malaria,viviendas rociadas por personal de salud,2006-02-01,1,1
PAMPA GRANDE,malaria,viviendas rociadas por personal de salud,2006-02-01,89,89
PUERTO RICO,malaria,viviendas rociadas por personal de salud,2006-02-01,141,141
SAN IGNACIO DE VELASCO,malaria,viviendas rociadas por personal de salud,2006-02-01,130,130
SAN LORENZO(PND),malaria,viviendas rociadas por personal de salud,2006-02-01,64,64
SANTA ROSA DEL SARA,malaria,viviendas rociadas por personal de salud,2006-02-01,144,144
TIQUIPAYA,malaria,viviendas rociadas por personal de salud,2006-02-01,6,6
VINTO,malaria,viviendas rociadas por personal de salud,2006-02-01,2,2
YACUIBA,malaria,viviendas rociadas por personal de salud,2006-02-01,1015,1015
YAPACANI,malaria,viviendas rociadas por personal de salud,2006-02-01,6,6
BAURES,malaria,viviendas rociadas por personal de salud,2006-03-01,53,53
BOLPEBRA,malaria,viviendas rociadas por personal de salud,2006-03-01,55,55
COLCAPIRHUA,malaria,viviendas rociadas por personal de salud,2006-03-01,4,4
COTAGAITA,malaria,viviendas rociadas por personal de salud,2006-03-01,235,235
EL PUENTE(TJA),malaria,viviendas rociadas por personal de salud,2006-03-01,110,110
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2006-03-01,77,77
MOROCHATA,malaria,viviendas rociadas por personal de salud,2006-03-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,viviendas rociadas por personal de salud,2006-03-01,8,8
PORVENIR,malaria,viviendas rociadas por personal de salud,2006-03-01,36,36
PUERTO RICO,malaria,viviendas rociadas por personal de salud,2006-03-01,127,127
QUILLACOLLO,malaria,viviendas rociadas por personal de salud,2006-03-01,9,9
SAN LORENZO(PND),malaria,viviendas rociadas por personal de salud,2006-03-01,186,186
SANTIVAÑES,malaria,viviendas rociadas por personal de salud,2006-03-01,593,593
TIQUIPAYA,malaria,viviendas rociadas por personal de salud,2006-03-01,12,12
VILLA VACA GUZMAN (MUYUPAMPA),malaria,viviendas rociadas por personal de salud,2006-03-01,29,29
VINTO,malaria,viviendas rociadas por personal de salud,2006-03-01,8,8
BAURES,malaria,viviendas rociadas por personal de salud,2006-04-01,46,46
BELLA FLOR,malaria,viviendas rociadas por personal de salud,2006-04-01,46,46
BUENA VISTA,malaria,viviendas rociadas por personal de salud,2006-04-01,3,3
COLCAPIRHUA,malaria,viviendas rociadas por personal de salud,2006-04-01,12,12
COTAGAITA,malaria,viviendas rociadas por personal de salud,2006-04-01,19,19
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2006-04-01,208,208
MOROCHATA,malaria,viviendas rociadas por personal de salud,2006-04-01,20,20
NACEBE (SANTA ROSA DEL ABUNA),malaria,viviendas rociadas por personal de salud,2006-04-01,11,11
NUEVO MANOA (NUEVA ESPERANZA),malaria,viviendas rociadas por personal de salud,2006-04-01,18,18
PUERTO RICO,malaria,viviendas rociadas por personal de salud,2006-04-01,64,64
QUILLACOLLO,malaria,viviendas rociadas por personal de salud,2006-04-01,29,29
SAN BUENA VENTURA,malaria,viviendas rociadas por personal de salud,2006-04-01,420,420
SAN LORENZO(PND),malaria,viviendas rociadas por personal de salud,2006-04-01,86,86
SAN PEDRO DE BUENA VISTA,malaria,viviendas rociadas por personal de salud,2006-04-01,29,29
TARIJA,malaria,viviendas rociadas por personal de salud,2006-04-01,19,19
TIQUIPAYA,malaria,viviendas rociadas por personal de salud,2006-04-01,5,5
VINTO,malaria,viviendas rociadas por personal de salud,2006-04-01,7,7
ARAMPAMPA,malaria,viviendas rociadas por personal de salud,2006-05-01,2,2
CABEZAS,malaria,viviendas rociadas por personal de salud,2006-05-01,8,8
COTAGAITA,malaria,viviendas rociadas por personal de salud,2006-05-01,48,48
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2006-05-01,80,80
NACEBE (SANTA ROSA DEL ABUNA),malaria,viviendas rociadas por personal de salud,2006-05-01,28,28
PASORAPA,malaria,viviendas rociadas por personal de salud,2006-05-01,4,4
SAN BUENA VENTURA,malaria,viviendas rociadas por personal de salud,2006-05-01,254,254
COTAGAITA,malaria,viviendas rociadas por personal de salud,2006-06-01,12,12
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2006-06-01,23,23
MAGDALENA,malaria,viviendas rociadas por personal de salud,2006-06-01,18,18
NACEBE (SANTA ROSA DEL ABUNA),malaria,viviendas rociadas por personal de salud,2006-06-01,28,28
RIBERALTA,malaria,viviendas rociadas por personal de salud,2006-06-01,30,30
SAN ANDRES,malaria,viviendas rociadas por personal de salud,2006-06-01,51,51
SAN IGNACIO DE VELASCO,malaria,viviendas rociadas por personal de salud,2006-06-01,96,96
SAN MATIAS,malaria,viviendas rociadas por personal de salud,2006-06-01,2,2
TARVITA,malaria,viviendas rociadas por personal de salud,2006-06-01,21,21
VILLAZON,malaria,viviendas rociadas por personal de salud,2006-06-01,5,5
BELLA FLOR,malaria,viviendas rociadas por personal de salud,2006-07-01,36,36
COTAGAITA,malaria,viviendas rociadas por personal de salud,2006-07-01,94,94
GENERAL SAAVEDRA,malaria,viviendas rociadas por personal de salud,2006-07-01,3,3
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2006-07-01,14,14
NACEBE (SANTA ROSA DEL ABUNA),malaria,viviendas rociadas por personal de salud,2006-07-01,15,15
NUEVO MANOA (NUEVA ESPERANZA),malaria,viviendas rociadas por personal de salud,2006-07-01,1,1
PORVENIR,malaria,viviendas rociadas por personal de salud,2006-07-01,79,79
PUERTO RICO,malaria,viviendas rociadas por personal de salud,2006-07-01,24,24
RIBERALTA,malaria,viviendas rociadas por personal de salud,2006-07-01,62,62
SACABA,malaria,viviendas rociadas por personal de salud,2006-07-01,1,1
SAN JULIAN,malaria,viviendas rociadas por personal de salud,2006-07-01,180,180
SANTIVAÑES,malaria,viviendas rociadas por personal de salud,2006-07-01,3,3
SENA,malaria,viviendas rociadas por personal de salud,2006-07-01,70,70
SIPE SIPE,malaria,viviendas rociadas por personal de salud,2006-07-01,2,2
TIQUIPAYA,malaria,viviendas rociadas por personal de salud,2006-07-01,1,1
BELLA FLOR,malaria,viviendas rociadas por personal de salud,2006-08-01,57,57
CABEZAS,malaria,viviendas rociadas por personal de salud,2006-08-01,18,18
COTAGAITA,malaria,viviendas rociadas por personal de salud,2006-08-01,1,1
GUANAY,malaria,viviendas rociadas por personal de salud,2006-08-01,189,189
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2006-08-01,33,33
MAPIRI,malaria,viviendas rociadas por personal de salud,2006-08-01,386,386
NUEVO MANOA (NUEVA ESPERANZA),malaria,viviendas rociadas por personal de salud,2006-08-01,15,15
PADCAYA,malaria,viviendas rociadas por personal de salud,2006-08-01,3,3
PORVENIR,malaria,viviendas rociadas por personal de salud,2006-08-01,53,53
RIBERALTA,malaria,viviendas rociadas por personal de salud,2006-08-01,79,79
VALLEGRANDE,malaria,viviendas rociadas por personal de salud,2006-08-01,1,1
VILLA NUEVA (LOMA ALTA),malaria,viviendas rociadas por personal de salud,2006-08-01,142,142
BAURES,malaria,viviendas rociadas por personal de salud,2006-09-01,68,68
BELLA FLOR,malaria,viviendas rociadas por personal de salud,2006-09-01,22,22
BERMEJO,malaria,viviendas rociadas por personal de salud,2006-09-01,311,311
COCHABAMBA,malaria,viviendas rociadas por personal de salud,2006-09-01,2,2
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2006-09-01,3,3
MAPIRI,malaria,viviendas rociadas por personal de salud,2006-09-01,991,991
