municipality,group,variable,month,Total Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
ACHACACHI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,310,310
ACHOCALLA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
AIQUILE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,527,527
ALALAY,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
ALCALA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
ALTO BENI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
ANTEQUERA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,30,30
ANZALDO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
APOLO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
ARAMPAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
ARANI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
ARBIETO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,248,248
ARQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,273,273
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,372,372
ATOCHA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,431,431
AYO AYO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,558,558
AZURDUY,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,260,260
BAURES,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
BELLA FLOR,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,29,29
BERMEJO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,511,511
BETANZOS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,248,248
BOLIVAR,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
BOYUIBE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
BUENA VISTA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,151,151
CABEZAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
CAIROMA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,121,121
CAJUATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
CALAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
CAMARGO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,279,279
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,651,651
CAPINOTA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,279,279
CAQUIAVIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,30,30
CARACOLLO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,217,217
CARANAVI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,279,279
CARIPUYO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,110,110
CHALLAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,310,310
CHAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,60,60
CHARAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,183,183
CHAYANTA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,60,60
CHIMORE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,338,338
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
CHUMA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,52,52
CKOCHAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
CLIZA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,341,341
COBIJA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1565,1565
COCAPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,180,180
COCHABAMBA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,10579,10579
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,413,413
"COLCHA ""K""",internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
COLLANA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
COLOMI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,372,372
COLPA BELGICA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
COLQUECHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
COLQUENCHA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
COLQUIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
COMARAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
COMBAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
CONCEPCION,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
COPACABANA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,5,5
CORIPATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
CORO CORO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,90,90
COROICO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,279,279
COTOCA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,682,682
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,149,149
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
CUEVO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
CULPINA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,372,372
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
DESAGUADERO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,30,30
EL ALTO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,7724,7724
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
EL TORNO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,682,682
EL VILLAR,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,279,279
ESCOMA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
EUCALIPTUS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
FILADELFIA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,46,46
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
GUANAY,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,248,248
GUAQUI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,150,150
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,805,805
GUTIERREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,152,152
HUACARETA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,297,297
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,88,88
HUANUNI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,924,924
HUARACAJE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,59,59
HUATAJATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,28,28
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
ICLA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,388,388
INCAHUASI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,279,279
INGAVI (HUMAITA),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,22,22
INQUISIVI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
IXIAMAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
JESUS DE MACHACA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
LA ASUNTA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,465,465
LA GUARDIA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,837,837
LA PAZ,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,15955,15955
LAGUNILLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
LAJA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,61,61
LAS CARRERAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,52,52
LICOMA PAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,60,60
LLALLAGUA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,372,372
LLICA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
LURIBAY,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,84,84
MACHACAMARCA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
MACHARETI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
MAGDALENA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
MAIRANA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,124,124
MAPIRI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,186,186
MECAPACA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
MIZQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,589,589
MOCOMOCO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
MOJINETE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
MOJOCOYA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,217,217
MONTEAGUDO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,992,992
MONTERO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1739,1739
MORO MORO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
MOROCHATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,216,216
OCURI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,248,248
OKINAWA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,97,97
OMEREQUE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,116,116
ORURO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,4010,4010
PADILLA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,341,341
PAILON,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,173,173
PALCA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,403,403
PAMPA AULLAGAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
PAMPA GRANDE,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
PAPEL PAMPA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
PASORAPA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
PATACAMAYA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,300,300
PAZÑA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
POCOATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,93,93
POCONA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,276,276
POJO (CBBA),internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,279,279
POOPO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,3,3
POROMA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,524,524
PORONGO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,310,310
PORTACHUELO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,372,372
PORVENIR,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,182,182
POTOSI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,2108,2108
PRESTO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,279,279
PUCARA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,56,56
PUCARANI,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,155,155
PUERTO ACOSTA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
PUERTO CARABUCO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,30,30
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,57,57
PUERTO PEREZ,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
PUERTO QUIJARRO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,90,90
PUERTO RICO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,88,88
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1079,1079
PUNA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
PUNATA,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,651,651
QUILLACOLLO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,1045,1045
QUIME,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,84,84
QUIRUSILLAS,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,31,31
RAVELO,internaciones dias camas,total dias camas disponibles maternidad,2015-01-01,62,62
