municipality,group,variable,month,Total Días camas ocupadas maternidad,TOTAL
ACHACACHI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,65,65
ACHOCALLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6,6
AIQUILE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,66,66
ALALAY,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
ALCALA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,12,12
ALTO BENI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,16,16
ANZALDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,3,3
APOLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,12,12
ARAMPAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1,1
ARANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,10,10
ARBIETO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,51,51
ARQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6,6
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,215,215
ATOCHA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,87,87
AYO AYO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,236,236
AZURDUY,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,16,16
BAURES,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,56,56
BELLA FLOR,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
BERMEJO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,24,24
BETANZOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,32,32
BOYUIBE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
BUENA VISTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,14,14
CABEZAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,15,15
CAIROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,11,11
"CAIZA ""D""",internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,9,9
CAJUATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,16,16
CALAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,14,14
CAMARGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,132,132
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1,1
CAMIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,382,382
CAPINOTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,24,24
CAQUIAVIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
CARACOLLO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,28,28
CARANAVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,147,147
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,12,12
CHALLAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,151,151
CHAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
CHARAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,24,24
CHAYANTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,24,24
CHIMORE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
CHUMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
CLIZA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,214,214
COBIJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,714,714
COCAPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
COCHABAMBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6549,6549
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,73,73
"COLCHA ""K""",internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
COLLANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,7,7
COLOMI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,27,27
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6,6
COLQUECHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,18,18
COLQUIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,16,16
COMARAPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,102,102
COMBAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
CONCEPCION,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,19,19
COPACABANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,11,11
CORIPATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
CORO CORO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
COROICO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,80,80
COTOCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,133,133
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,94,94
CUEVO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
CULPINA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,41,41
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
DESAGUADERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,5,5
EL ALTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,3597,3597
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
EL TORNO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,425,425
EL VILLAR,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,16,16
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,25,25
ESCARA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,3,3
ESCOMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,22,22
EUCALIPTUS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,20,20
FILADELFIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,14,14
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,10,10
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
GUANAY,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,20,20
GUAQUI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,371,371
GUTIERREZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,22,22
HUACARETA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,11,11
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,5,5
HUACHACALLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,93,93
HUANUNI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,276,276
HUARACAJE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,19,19
HUATAJATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
ICLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,15,15
INCAHUASI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,45,45
INGAVI (HUMAITA),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,9,9
INQUISIVI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,13,13
IXIAMAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,11,11
JESUS DE MACHACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,10,10
LA ASUNTA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,77,77
LA GUARDIA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,78,78
LA PAZ,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6718,6718
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,13,13
LAJA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,13,13
LLALLAGUA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,301,301
LLICA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6,6
LURIBAY,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,7,7
MACHACAMARCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
MACHARETI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,5,5
MAGDALENA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,97,97
MAIRANA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,78,78
MAPIRI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,14,14
MECAPACA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,10,10
MINEROS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
MIZQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,86,86
MOCOMOCO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
MOJOCOYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,31,31
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,196,196
MONTERO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,952,952
MOROCHATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2,2
OCURI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,14,14
OKINAWA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,92,92
OMEREQUE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,8,8
ORURO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,2317,2317
PADILLA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,92,92
PAILON,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,106,106
PALCA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,3,3
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,33,33
PAMPA AULLAGAS,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,6,6
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,16,16
PAPEL PAMPA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,12,12
PATACAMAYA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,48,48
PAZÑA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
POCOATA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,11,11
POCONA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,14,14
POJO (CBBA),internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,14,14
POOPO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,3,3
POROMA,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,9,9
PORONGO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,7,7
PORTACHUELO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,121,121
PORVENIR,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,4,4
POTOSI,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,1128,1128
PRESTO,internaciones dias camas,total dias camas ocupadas maternidad,2015-01-01,16,16
