,group,variable,month,L 16.9 HABITO DE FUMAR CANTIDAD,L 16.9 HABITO DE FUMAR CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,5,5,10
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,2,1,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,16,6,22
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,6,1,7
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,47,21,68
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,7,13,20
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,2,3,5
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,13,0,13
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,2,0,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,2,0,2
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,12,0,12
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,4,0,4
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,0,2,2
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,3,0,3
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,16,8,24
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,5,1,6
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,4,1,5
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,3,0,3
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,2,0,2
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,0,1,1
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-01-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,5,5,10
CARACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,71,78,149
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,7,1,8
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,90,33,123
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.9        habito de fumar,2012-02-01,1,0,1
