,group,variable,month,L 16.2 REUMÁTICAS CANTIDAD,L 16.2 REUMÁTICAS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,5,20,25
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,11,15
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,8,8
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,46,59,105
APOLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,3,5
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,2,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,9,18,27
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,9,13
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,6,6,12
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,17,22,39
AYOPAYA (V. DE INDEPENDENCIA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,3,3
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,10,6,16
BAURES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,0,1
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,1,3
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,48,58,106
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,5,16,21
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,5,7
BOLPEBRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,10,8,18
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,1,1
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,14,17
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,10,23,33
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,22,50,72
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,20,33,53
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,6,9
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,4,7,11
CARANGAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,1,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
CARIPUYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,0,1,1
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,7,8
CATACORA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,3,2,5
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,2,5,7
CHIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.2        reumaticas,2012-01-01,1,1,2
