,group,variable,month,L 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,L 1611 EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,2,0,2
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,2,0,2
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,7,3,10
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,5,6
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,9,9,18
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,3,3
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,3,3,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,88,93,181
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,2,3,5
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,2,0,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,32,31,63
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,2,3
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,0,6,6
ESCOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,2,1,3
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,3,9,12
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
LA ASUNTA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,124,123,247
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,1,0,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 1611        epilepsia / convulsiones / ataques,2012-01-01,6,2,8
