,group,variable,month,L 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,L 1612 TRASTORNOS DE COMPORTAMIENTO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,2,4,6
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,4,1,5
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,1,1,2
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,14,33,47
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,2,1,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,4,1,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,6,13,19
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,0,1,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,22,15,37
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,25,16,41
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,1,0,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,1,0,1
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-01-01,0,1,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,1,4,5
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,4,2,6
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,2,5,7
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 1612        trastornos de comportamiento y consumo de sustancias psicoactivas,2012-02-01,16,30,46
