,group,variable,month,L 16.4 CÁNCER OTROS CANTIDAD,L 16.4 CÁNCER OTROS CANTIDAD,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,1,2
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,0,7,7
CAPINOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,222,432,654
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,0,2,2
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,6,6,12
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,4,1,5
EUCALIPTUS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,0,2,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,75,79,154
MAIRANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,5,9,14
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,0,1,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,15,6,21
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,2,3
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,0,6,6
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,134,176,310
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,50,41,91
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,10,12,22
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,3,1,4
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,0,1
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.4        cancer otros,2012-01-01,1,1,2
